"--Please Select--","--Παρακαλούμε Επιλέξτε--"
"<label>Make Check payable to:</label> %s","<label>Το Τσεκ να πληρωθεί στο(η):</label> %s"
"<label>Make Check payable to</label>: %s","<label>Το Τσεκ να πληρωθεί στο(η)</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Can not retrieve payment info model object.","Can not retrieve payment info model object."
"Can not retrieve payment method instance","Can not retrieve payment method instance"
"Can not retrieve payment method model object.","Can not retrieve payment method model object."
"Card Verification Number","Αριθμός Επαλήθευσης Κάρτας"
"Check / Money order","Check / Εντολή Πληρωμής"
"Credit Card Number","Αριθμός Πιστωτικής Κάρτας"
"Credit Card Number: %s","Αριθμός Πιστωτικής Κάρτας: %s"
"Credit Card Number: xxxx-%s","Αριθμός Πιστωτικής Κάρτας: xxxx-%s"
"Credit Card Type","Τύπος Πιστωτικής Κάρτας"
"Credit Card Type: %s","Τύπος Πιστωτικής Κάρτας: %s"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Credit Card Verification","Επαλήθευση Πιστωτικής Κάρτας"
"Enabled","Ενεργοποιημένο"
"Expiration Date","Ημ/μηνία Λήξης"
"Expiration Date: %s/%s","Ημ/μηνία Λήξης: %s/%s"
"Make Check payable to","Το Τσεκ να πληρωθεί στο(η)"
"Make Check payable to: %s","Το Τσεκ να πληρωθεί στο(η): %s"
"Maximum Order Total","Maximum Order Total"
"Minimum Order Total","Minimum Order Total"
"Month","Μήνας"
"Name on Card","Όνομα στη κάρτα"
"Name on the Card: %s","Όνομα στη Κάρτα: %s"
"New order status","Κατάσταση νέας παραγγελίας"
"Payment Methods","Μέθοδοι Πληρωμής"
"Payment Methods Section","Payment Methods Section"
"Payment from Specific countries","Πληρωμή από Συγκεκριμένες χώρες"
"Payment from applicable countries","Πληρωμή από Εφαρμόσιμες χώρες"
"Purchase Order Number","Αριθμός Εντολής Αγοράς"
"Purchase Order Number: %s","Αριθμός Εντολής Αγοράς: %s"
"Purchase order","Εντολή αγοράς"
"Saved CC","Saved CC"
"Send Check to","Αποστολή του Τσεκ στο(η)"
"Send Check to:","Αποστολή του Τσεκ στο(η):"
"Sort order","Κανόνας Ταξινόμησης"
"Title","Τίτλος"
"What is this?","Τι είναι αυτό;"
"Year","Έτος"
"Zero Subtotal Checkout","Αγορά με Μηδενικό Μερικό Σύνολο"
