"# of Use","# χρήσης"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s Προϊόν(τα)"
"(Copy data from: %s)","(Αντιγραφή στοιχείων από: %s)"
"(Will make search for the query above return results for this search.)","(Θα κάνει την αναζήτηση για το παραπάνω ερώτημα να επιστρέψει απαντήσεις για αυτή την αναζήτηση)"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Παρακαλούμε Επιλέξτε --"
"A name is required","Απαιτείται ένα όνομα"
"ALL GROUPS","ΟΛΕΣ ΟΙ ΟΜΑΔΕΣ"
"AM","AM"
"Action","Ενέργεια"
"Add Attribute","Πρόσθεση Χαρακτηριστικού"
"Add Design Change","Πρόσθεση Αλλαγής Design"
"Add Group","Πρόσθεση Ομάδας"
"Add Items to Cart","Προσθήκη Ειδών στο Καλάθι"
"Add New","Πρόσθεση Νέου"
"Add New Attribute","Πρόσθεση Νέου Χαρακτηριστικού"
"Add New Attribute Set","Πρόσθεση Νέου Συνόλου Χαρακτηριστικών"
"Add New Group","Πρόσθεση Νέας Ομάδας"
"Add New Images","Πρόσθεση Νέων Εικόνων"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add New Search Term","Πρόσθεση Νέου Όρου Αναζήτησης"
"Add New Set","Πρόσθεση Νέου Συνόλου"
"Add Option","Πρόσθεση Επιλογής"
"Add Product","Πρόσθεση Προϊόντος"
"Add Product To Websites","Πρόσθεση Προϊόντος Σε Ιστότοπους"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","Τιμή Πολλαπλών Τεμαχίων(Tier)"
"Add to Cart","Αγορά"
"Add to Compare","Πρόσθεση στην Σύγκριση"
"Add to My Wishlist","Πρόσθεση στα Επιθυμητά μου"
"Add to Wishlist","Πρόσθεση στα Επιθυμητά"
"Additional Information","Επιπρόσθετες Πληροφορίες"
"All","Όλα"
"All Product Types","Όλοι οι Τύποι Προϊόντων"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"Apply To","Εφαρμογή Στο(α)"
"Apply To Configurable/Grouped Product","Εφαρμογή στο Διαμορφώσιμο/Ομαδοποιημένο Προϊόν"
"Approved","Εγκεκριμένο"
"Are you sure you want to delete this category?","Είστε βέβαιοι ότι θέλετε να διαγραφεί αυτή η κατηγορία;"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Είστε βέβαιοι ότι θέλετε να αφαιρέσετε το είδος από τη σύγκριση προϊόντων;"
"Are you sure?","Είστε σίγουροι;"
"As low as:","Φτάνει μέχρι:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","Συσχετιζόμενα Προϊόντα"
"Attrib. Set Name","Όνομα Συνόλου Ιδιοτήτων"
"Attribute Code","Κώδικας Χαρακτηριστικού"
"Attribute Information","Πληροφορίες Χαρακτηριστικού"
"Attribute Label","Ετικέτα Χαρακτηριστικού"
"Attribute Model","Μοντέλο Χαρακτηριστικού"
"Attribute Name:","Όνομα Χαρακτηριστικού:"
"Attribute Properties","Παράμετροι Χαρακτηριστικού"
"Attribute Set","Σύνολο Χαρακτηριστικών"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","Δεν έχει ορισθεί μοντέλο Χαρακτηριστικού"
"Attribute with the same code already exists","Ένα Χαρακτηριστικό με τον ίδιο κώδικα υπάρχει ήδη"
"Attributes","Χαρακτηριστικά"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Αυτοπαραγώμενο"
"Availability","Availability"
"Availability: In stock.","Διαθεσιμότητα: Αμεσα Διαθέσιμο."
"Availability: Out of stock.","Διαθεσιμότητα: Εκτός Αποθέματος."
"Back","Πίσω"
"Backend Model","Μοντέλο Backend"
"Backend Table","Πίνακας Backend"
"Backend Table Title","Τίτλος Πίνακα Backend"
"Backorders","Καθυστέρημένες Παραγγελίες"
"Base directory to upload image file is not specified","Δεν έχει οριστεί η βασική διαδρομή για τη φόρτωση εικόνων"
"Based On","Βασισμένο σε"
"Best Value","Καλύτερη Αξία"
"Block after Info Column","Block after Info Column"
"Bottom/Left","Κάτω/Αριστερά"
"Bottom/Right","Κάτω/Δεξιά"
"Browse By","Εμφάνιση ανά"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Can be used only with catalog input type Dropdown","Μπορεί να χρησιμοποιηθεί μόνο με τύπο εισαγωγής καταλόγου Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Μπορεί να χρησιμοποιηθεί μόνο με τύπο εισαγωγής καταλόγου Dropdown, Πολλαπλή Επιλογή και Τιμή"
"Can't create image.","Can't create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","Χαρακτηριστικό Είδους Καλαθιού Αγοράς"
"Catalog","Κατάλογος"
"Catalog Input Type for Store Owner","Τύπος Εισαγωγής Καταλόγου για τον Ιδιοκτήτη του Καταστήματος"
"Catalog Price Scope","Εμβέλεια Τιμών Καταλόγων"
"Catalog Section","Catalog Section"
"Catalog, Search","Κατάλογος, Αναζήτηση"
"Categories","Κατηγορίες"
"Categories Sitemap","Χάρτης ιστοχώρου Κατηγοριών"
"Category","Κατηγορια"
"Category API","Category API"
"Category Data","Δεδομένα Κατηγορίας"
"Category Navigation:","Πλοήγηση Κατηγορίας:"
"Category Products","Προϊόντα Κατηγορίας"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category delete error","Σφάλμα διαγραφής Κατηγορίας"
"Category deleted","Η Κατηγορία διαγράφηκε"
"Category move error","Σφάλμα Μετακίνησης Κατηγορίας"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","Η Κατηγορία Αποθηκεύτηκε"
"Change","Αλλαγή"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Κατάσταση αλλαγής"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose an Option...","Επιλέξτε..."
"Choose option...","Επιλέξτε..."
"Clear All","Clear All"
"Clear All Items","Καθαρισμός Όλων των Προϊόντων"
"Close Window","Κλείσιμο Παραθύρου"
"Collapse All","Collapse All"
"Comparable","Συγκρίσιμο"
"Comparable on Front-end","Συγκρίσιμο στο Front-end"
"Compare Items","Σύγκριση Ειδών"
"Compare Products","Συγκρινετε Προϊοντα"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","Συγκρίνετε Προϊόντα - %d Είδη"
"Compare Products List","Λίστα Σύγκρισης Προϊόντων"
"Compare list successfully cleared","Η Λίστα Συγκρίσεων καθαρίστηκε επιτυχώς"
"Conditions Combination","Συνδυασμός Συνθηκών"
"Configurable Product","Διαμορφώσιμο Προϊόν"
"Configurable Product Settings","Ρυθμίσεις Διαμορφώσιμων Προϊόντων"
"Continue","Συνέχεια"
"Copy From Configurable","Αντιγραφή από το Διαμορφώσιμο"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create Empty","Δημιουργία Κενού"
"Create Product Settings","Ρυθμίσεις Δημιουργίας Προϊόντος"
"Create Simple Associated Product","Δημιουργία Απλού Σχετιζόμενου Προϊόντος"
"Create new category","Create new category"
"Create new product","Create new product"
"Cross-sells","Συσχετιζόμενες Πωλήσεις"
"Currently Shopping by","Αγοραζετε απο"
"Custom Design","Προσαρμοσμένο Design"
"Custom Options","Custom Options"
"Customer Group","Ομάδα Πελατών"
"Customers Reviews","Αξιολογήσεις Πελατών"
"Customers Tagged Product","Προϊόντα σημειωμένα με ετικέτα από Πελάτη"
"Customers for alert %s was successfuly added to queue","Πελάτες για ειδοποίηση %s προστέθηκαν επιτυχώς στη σειρά"
"Data Type for Saving in Database","Τύπος δεδομένων για αποθήκευση στην Βάση Δεδομένων"
"Date","Ημερομηνία"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Subscribed","Ημερομηνία Εγγραφής"
"Date fields order","Date fields order"
"Datetime","Διαμόρφωση Ημερομηνίας"
"Decimal","Δεκαδικό"
"Decimal Number","Δεκαδικός Αριθμός"
"Declare attribute value saving scope","Δηλώστε εμβέλεια αποθήκευσης τιμής χαρακτηριστικού"
"Default Qty","Προκαθορισμένη Ποσότητα"
"Default Values","Προκαθορισμένο"
