"# of Uses","# Χρήσεων"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Ενέργεια"
"Actions","Ενέργειες"
"Add New Tag","Προσθήκη Νέας Ετικέτας"
"Add Tags","Προσθήκη Ετικετών"
"Add Your Tags:","Προσθήκη Των Ετικετών Σας"
"Add to Cart","Αγορά"
"Add to Wishlist","Προσθήκη στη Λίστα Επιθυμητών"
"All Tags","Όλες Οι Ετικέτες"
"Approved","Έχει Εγκριθεί"
"Are you sure that you want to delete this tag?","Ειστε βέβαιος ότι θέλετε να διαγράψετε αυτή την ετικέτα"
"Are you sure you want to delete this tag?","Είστε βέβαιοι πως θέλετε να διαγράψετε αυτή την Ετικέτα"
"Are you sure you want to do this?","Είστε βέβαιοι πως θέλετε να το κάνετε αυτό;"
"Are you sure?","Είστε σίγουροι"
"Back","Πίσω"
"Back to Tags List","Πίσω Στην Λίστα Ετικετών"
"Back to view Tag","Πίσω Στην Προβολή Ετικέτας"
"Block Information","Block Πληροφοριών"
"CSV","CSV"
"Change status","Αλλαγή Κατάστασης"
"Click on a tag to view your corresponding products.","Κάντε κλικ σε μία ετικέτα για να δείτε τα αντίστοιχα προϊόντα σας"
"Country","Χώρα"
"Customer Since","Πελάτης Απο"
"Customers","Πελάτες"
"Customers Tagged '%s'","Πελάτες Με Ετικέτες '%s'"
"Delete","Διαγραφή"
"Delete Tag","Διαγραφή Ετικέτας"
"Disabled","Απενεργοποιημένο"
"Edit Tag","Επεξεργασία Ετικέτας"
"Edit Tag '%s'","Επεξεργασία Ετικέτας '%s'"
"Email","Email"
"First Name","Όνομα"
"General Information","Γενικές Πληροφορίες"
"Grid","Πλέγμα"
"ID","ID"
"Last Name","Επίθετο"
"List","Λίστα"
"My Recent Tags","Οι Προσφατες Ετικετες μου"
"My Tags","Οι Ετικέτες Μου"
"Name","Όνομα"
"New Tag","Νέα Ετικέτα"
"No matches found.","Δεν βρέθηκαν αποτελέσματα"
"Other people marked this product with these tags:","Άλλοι πελάτες σημείωσαν το προϊον με αυτές τις ετικέτες:"
"Pending","Σε Αναμονή"
"Pending Tags","Ετικέτες Σε Αναμονή"
"Popular","Δημοφιλείς"
"Popular Tags","Δημοφιλεις Ετικετες"
"Popularity","Επισκεψιμότητα"
"Price","Τιμή"
"Product Name","Όνομα Προϊόντος"
"Product SKU","Κωδικός Προϊόντος (SKU)"
"Product Tags","Ετικέτες Προϊόντος"
"Products","Προϊόντα"
"Products Tagged with '%s'","Προϊόντα Με Ετικέτα '%s'"
"Products tagged with '%s'","Προϊόντα Με Ετικέτα '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Προϊόντα Με Ετικέτα '%s' (<a href='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","Αποθήκευση Ετικέτας"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Αναζήτηση Αποτελεσμάτων για '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Κατάσταση"
"Tag","Ετικέτα"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Πληροφορίες Ετικέτας"
"Tag Name","Όνομα Ετικέτας"
"Tag Name: %s","Όνομα Ετικέτας: %s"
"Tag can't be empty.","Η ετικέτα δε μπορεί να είναι κενή."
"Tagged in","Tagged in"
"Tags","Ετικέτες"
"Tags Aren't Available","Οι Ετικέτες δεν είναι Διαθέσιμες"
"Tags:","Ετικέτες:"
"Telephone","Τηλέφωνο"
"Thank you. Your tag has been accepted for moderation.","Ευχαριστούμε. Η Ετικέτα σας έχει γίνει αποδεκτη και περιμένει έγκριση"
"Unable to find any products tagged with '%s' in the current store","Αδύνατον να βρεθούν προϊόντα με την ετικέτα '%s' στο τρέχων κατάστημα"
"Unable to remove tag. Please, try again later.","Αδύνατο να αφαιρεθεί η ετικέτα. Παρακαλούμε δοκιμάστε αργότερα"
"Unable to save tag(s)","Αδύνατο να γίνει αποθήκευση της/ων ετικέτας(ών)"
"Unable to save your tag. Please, try again later.","Αδύνατο να αποθηκευτεί η ετικέτα σας. Παρακαλούμε δοκιμάστε αργότερα"
"Use spaces to separate tags. Use single quotes (') for phrases.","Χρησιμοποιήστε κενά για να διαχωρίσετε ετικέτες, Χρησιμοποιήστε μονά εισαγωγικά (') για φράσεις."
"Uses","Χρήσεις"
"View All","View All"
"View All Tags","Προβολή Όλων Των Ετικετών"
"View Customers","Προβολή Πελατών"
"View Products","Προβολή Προϊόντων"
"Visible In","Ορατές Στο"
"XML","XML"
"You have not tagged any products yet.","Δεν έχετε βάλει ετικέτες σε κανένα προϊόν ακόμα"
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Ταχυδρομικός Κωδικός"
"You have not tagged any products yet.","You have not tagged any products yet."
