"* Required Fields","* Υποχρεωτικά Πεδία"
"Add","Προσθήκη"
"Add Gift Message","Προσθήκη Μηνύματος Δώρου"
"Allow Gift Messages for Order Items","Επιτρέψτε Μηνύματα Δώρων για Είδη της Παραγγελίας"
"Allow Gift Messages on Order Level","Επιτρέψτε Μηνύματα Δώρων σε Επίπεδο Παραγγελίας"
"Are you sure?","Είστε σίγουροι;"
"Cancel","Ακύρωση"
"Check this checkbox if you want to add gift messages to your items.","Επιλέξτε αυτό το κουτάκι εάν θέλετε να προσθέσετε μηνύματα δώρων στα είδη σας."
"Check this checkbox if you want to add gift messages.","Επιλέξτε αυτό το κουτάκι εάν θέλετε να προσθέσετε μηνύματα δώρων."
"Close","Κλείσιμο"
"Do you have any gift items in your order?","Έχετε κανένα δώρο στην παραγγελία σας;"
"Edit","Επεξεργασία"
"Edit Gift Message","Επεξεργασία Μηνύματος Δώρου"
"Enter a gift message for each item in your order.","Προσθέστε ένα μήνυμα δώρου για κάθε είδος στην παραγγελία σας."
"Enter a gift message for entire order.","Προσθέστε ένα μήνυμα δώρου για ολόκληρη τη παραγγελία."
"Enter a gift message for this address.","Προσθέστε ένα μήνυμα δώρου για αυτή τη διεύθυνση."
"Error while saving gift message","Σφάλμα κατά την αποθήκευση του μηνύματος δώρου"
"From","Από"
"Gift Message","Μήνυμα Δώρου"
"Gift Messages","Μηνύματα Δώρων"
"Gift message has been successfully saved","Το μήνυμα δώρου αποθηκεύτηκε επιτυχώς"
"Item %d of %d","Είδος %d από %d"
"Message","Μήνυμα"
"No","Όχι"
"Remove","Αφαίρεση"
"Save","Αποθήκευση"
"Save Gift Message","Αποθήκευση Μηνύματος Δώρου"
"To","Προς"
"Unknown entity type","Άγνωστος τύπος οντότητας"
"Use config","Χρήση ρυθμίσεων"
"Yes","Ναι"
"You can leave a box blank if you don't wish to add a gift message for the item.","Μπορείτε να αφήσετε ένα κουτί κενό αν δε θέλετε να προσθέσετε ένα μήνυμα δώρου για το είδος."
"You can leave a box blank if you don't wish to add a gift message for this address.","Μπορείτε να αφήσετε ένα κουτί κενό αν δε θέλετε να προσθέσετε ένα μήνυμα δώρου για αυτή τη διεύθυνση."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Μπορείτε να αφήσετε ένα κουτί κενό αν δε θέλετε να προσθέσετε ένα μήνυμα δώρου για ολόκληρη τη παραγγελία."
"Your gift message has been successfully removed","Το μήνυμα δώρου σας έχει αφαιρεθεί επιτυχώς"
"Your gift message has been successfully saved","Το μήνυμα δώρου σας έχει αποθηκευτεί επιτυχώς"
"Your gift message successfully removed","Το μήνυμα δώρου σας αφαιρέθηκε επιτυχώς"
"Your gift message successfully saved","Το μήνυμα δώρου σας αποθηκεύτηκε επιτυχώς"
