"%s already exist","Το %s υπάρχει ήδη"
"%s already exists","Το %s υπάρχει ήδη"
"-- Please Select --","-- Παρακαλούμε Επιλέξτε --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Πρόσθεση του Κωδικού Καταστήματος στα Urls"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","Για Προχωρημένους"
"Allow countries","Επιτρεπτές χώρες"
"Allowed IPs (comma separated)","Επιτρεπτά IP(διαχωρισμένα με κόμμα)"
"Are you sure?","Είστε σίγουροι;"
"Back","Πίσω"
"Backup options","Backup options"
"Base JavaScript URL","Βασικό URL JavaScript"
"Base Link URL","Βασικό URL Συνδέσμων"
"Base Media URL","Βασικό URL Πολυμέσων"
"Base Skin URL","Βασικό URL Προτύπου(Skin)"
"Base URL","Βασικό URL"
"Before modifying the store view code please make sure that it is not used in index.php","Πριν μετατρέψετε το κωδικό όψης καταστήματος παρακαλούμε βεβαιωθείτε πως δεν χρησιμοποιείται στο index.php"
"Before modifying the website code please make sure that it is not used in index.php","Πριν μετατρέψετε το κωδικό του ιστοτόπου παρακαλούμε βεβαιωθείτε πως δεν χρησιμοποιείται στο index.php"
"Block with name ""%s"" already exists","Ένα Τμήμα με το όνομα ""%s"" υπάρχει ήδη"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","Δε μπορεί να ανακτηθεί το αντικείμενο που αιτήθηκε"
"Can't retrieve entity config: %s","Δε μπορούν να ανακτηθούν οι ρυθμίσεις της οντότητας: %s"
"Cancel","Άκυρο"
"Cannot Delete Email Template","Δε μπορεί να διαγραφεί το Πρότυπο(Template) Email"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","Κωδικός"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Το αρχείο ελέγχου φορτώθηκε αλλά η κλάση δεν υπάρχει"
"Cookie Domain","Τομέας(Domain) Cookie"
"Cookie Lifetime","Χρόνος ζωής Cookie"
"Cookie Path","Διαδρομή Cookie"
"Copyright","Copyright"
"Countries options","Επιλογές χωρών"
"Create Store","Δημιουργία Καταστήματος"
"Create Store View","Δημιουργία Όψης Καταστήματος"
"Create Website","Δημιουργία Ιστοτόπου"
"Current package name","Όνομα τρέχοντως πακέτου"
"Custom Design","Προσαρμοσμένο Design"
"Custom admin URL","Custom admin URL"
"Custom email 1","Προσαρμοσμένο email 1"
"Custom email 2","Προσαρμοσμένο email 2"
"Customer support","Εξυπηρέτηση πελατών"
"Date From","Ημ/νία Από"
"Date To","Ημ/νία Εώς"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Αποσφαλμάτωση"
"Default","Προκαθορισμένο"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Pages","Προκαθορισμένες Σελίδες"
"Default Robots","Default Robots"
"Default Store","Προκαθορισμένο Κατάστημα"
"Default Store View","Προκαθορισμένη Όψη Καταστήματος"
"Default Title","Default Title"
"Default country","Προκαθορισμένη χώρα"
"Default no-route url","Προκαθορισμένο no-route url"
"Default web url","Προκαθορισμένο web url"
"Delete","Διαγραφή"
"Delete Store","Διαγραφή Καταστήματος"
"Delete Store View","Διαγραφή Όψης Καταστήματος"
"Delete Website","Διαγραφή Ιστοτόπου"
