"-- Please Select --","-- Παρακαλούμε Επιλέξτε --"
"Add New Class","Πρόσθεση Νέας Κλάση"
"Add New Tax Rate","Πρόσθεση Νέου Φορολογικού Συντελεστή"
"Add New Tax Rule","Πρόσθεση Νέου Φορολογικού Κανόνα"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","Είστε βέβαιοι πως θέλετε να το κάνετε αυτό;"
"Back","Πίσω"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Όνομα Κλάσης"
"Code","Code"
"Country","Χώρα"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Επαρχεία"
"Custom price if available","Custom price if available"
"Customer Tax Class","Φορολογική Κλάση Πελάτη"
"Customer Tax Class Information","Πληροφορίες Φορολογικής Κλάσης Πελάτη"
"Customer Tax Classes","Φορολογικές Κλάσεις Πελάτη"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Διαγραφή Κλάσης"
"Delete Rate","Διαγραφή Συντελεστή"
"Delete Rule","Διαγραφή Κανόνα"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","Display full tax summary"
"Edit Class","Επεξεργασία Κλάσης"
"Edit Class '%s'","Επεξεργασία Κλάσης '%s'"
"Edit Rule","Επεξεργασία Κανόνα"
"Edit Tax Rate","Επεξεργασία Φορολογικού Συντελεστή"
"Error while deleting this class. Please try again later.","Υπήρξε σφάλμα κατα τη διαγραφή αυτής της κλάσης. Παρακαλούμε προσπαθήστε ξανά αργότερα."
"Error while deleting this rate. Incorrect rate ID","Υπήρξε σφάλμα κατα τη διαγραφή αυτού του συντελεστή. Εσφαλμένο ID συντελεστή"
"Error while deleting this rate. Please try again later.","Υπήρξε σφάλμα κατα τη διαγραφή αυτού του συντελεστή. Παρακαλούμε προσπαθήστε ξανά αργότερα."
"Error while deleting this tax rule. Please try again later.","Υπήρξε σφάλμα κατα τη διαγραφή αυτού του φορολογικού κανόνα. Παρακαλούμε προσπαθήστε ξανά αργότερα."
"Error while saving this rate. Please try again later.","Υπήρξε σφάλμα κατα την αποθήκευση αυτού του συντελεστή. Παρακαλούμε προσπαθήστε ξανά αργότερα."
"Error while saving this tax class. Class with the same name ","Υπήρξε σφάλμα κατα την αποθήκευση αυτής της φορολογικής κλάσης. Κλάση με το ίδιο όνομα "
"Error while saving this tax class. Please try again later.","Υπήρξε σφάλμα κατα την αποθήκευση αυτής της φορολογικής κλάσης. Παρακαλούμε προσπαθήστε ξανά αργότερα."
"Error while saving this tax rule. Please try again later.","Υπήρξε σφάλμα κατα την αποθήκευση αυτού του φορολογικού κανόνα. Παρακαλούμε προσπαθήστε ξανά αργότερα."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Μη Συμπ. Φόρος"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Εξαγωγή Φορολογικών Συντελεστών"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Εισαγωγή / Εξαγωγή Φορολογικών Συντελεστών"
"Import Tax Rates","Εισαγωγή Φορολογικών Συντελεστών"
"Inc. Tax","Συμπ. Φόρος"
"Incl. Tax","Συμπεριλαμβανόμενος Φόρος"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Εσφαλμένα Δεδομένα συντελεστή"
"Invalid data for tax rate calculation","Μη έγκυρα δεδομένα για υπολογισμό φορολογικού συντελεστή"
"Invalid file format upload attempt","Προσπάθεια φόρτωσης αρχείου με μη έγκυρη μορφοποίηση"
"Invalid file upload attempt","Προσπάθεια φόρτωσης μή έγκυρου αρχείου"
"Manage Customer Tax Classes","Διαχείριση Φορολογικών Κλάσεων Πελατών"
"Manage Product Tax Classes","Διαχείριση Φορολογικών Κλάσεων Προϊόντων"
"Manage Tax Rates","Διαχείριση Φορολογικών Συντελεστών"
"Manage Tax Rules","Διαχείριση Φορολογικών Κανόνων"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","Νέα Κλάση"
"New Rule","Νέος Κανόνας"
"New Tax Rate","Νέος Φορολογικός Συντελεστής"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","Παρακαλούμε επιλέξτε Χώρα"
"Please select County","Παρακαλούμε επιλέξτε Επαρχία"
"Please select State","Παρακαλούμε επιλέξτε Νομό"
"Priority","Priority"
"Product Tax Class","Φορολογική Κλάση Προϊόντος"
"Product Tax Class Information","Πληροφορίες Φορολογικής Κλάσης Προϊόντος"
"Product Tax Classes","Φορολογικές Κλάσεις Προϊόντος"
"Rate","Rate"
"Reset","Reset"
"Sales","Πωλήσεις"
"Save Class","Αποθήκευση Κλάσης"
"Save Rate","Αποθήκευση Συντελεστή"
"Save Rule","Αποθήκευση Κανόνα"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"State","Νομός"
"State/Region","Νομός/Δήμος"
"Tax","Φόροι"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Φορολογικός Συντελεστής"
"Tax Rate Information","Πληροφορίες Φορολογικού Συντελεστή"
"Tax Rule Information","Πληροφορίες Φορολογικού Κανόνα"
"Tax Rules","Φορολογικοί Κανόνες"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","Η Φορολογική κλάση διαγράφηκε επιτυχώς"
"Tax class was successfully saved","Η Φορολογική κλάση αποθηκεύτηκε επιτυχώς"
"Tax rate was successfully deleted","Ο Φορολογικός συντελεστής διαγράφηκε επιτυχώς"
"Tax rate was successfully imported","Έγινε επιτυχής εισαγωγή του φορολογικού συντελεστή"
"Tax rate was successfully saved","Ο Φορολογικός συντελεστής αποθηκεύτηκε επιτυχώς"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","Ο Φορολογικός κανόνας διαγράφηκε επιτυχώς"
"Tax rule was successfully saved","Ο Φορολογικός κανόνας αποθηκεύτηκε επιτυχώς"
"This class no longer exists","Αυτή η κλάση πλέον δεν υπάρχει"
"This rule no longer exists","Αυτός ο κανόνας πλέον δεν υπάρχει"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Δε μπορείτε να διαγράψετε αυτή τη φορολογική κλάση γιατί χρησιμοποιείται για %d ομάδες πελατών."
"You cannot delete this tax class as it is used for %d products.","Δε μπορείτε να διαγράψετε αυτή τη φορολογική κλάση γιατί χρησιμοποιείται για %d προϊόντα."
