"(eg: domain.com/identifier)","(ej: dominio.com/identificador)"
"Action","Acción"
"Add New Block","Agregar un nuevo bloque"
"Add New Page","Agregar una nueva página"
"All countries","Todos los países"
"Block Information","Información del bloque"
"Block Title","Título del bloque"
"Block was successfully deleted","El bloque fue borrado con éxito"
"Block was successfully saved","El bloque fue grabado con éxito"
"CMS","CMS"
"CMS Home Page","Página de inicio CMS"
"CMS No Route Page","Página de ""falta de ruta"" CMS"
"Content","Contenido"
"Custom Design","Diseño personalizado"
"Custom Theme","Tema personalizado"
"Custom Theme From","Tema personalizado desde"
"Custom Theme To","Tema personalizado hasta"
"Customer Tax Class Information","Información de la clase de impuesto al cliente"
"Date Created","Fecha de creación"
"Delete Block","Borrar el bloque"
"Delete Page","Borrar la página"
"Description","Descripción"
"Disabled","Deshabilitado"
"Edit Block","Editar el bloque"
"Edit Block '%s'","Editar el bloque '%s'"
"Edit Page","Editar la página"
"Edit Page '%s'","Editar página '%s'"
"Enabled","Habilitado"
"General Information","Información general"
"Go to Home Page","Ir a la página de inicio"
"Home","Inicio"
"Identifier","Identificador"
"Keywords","Palabras clave"
"Last Modified","Ultima modificación"
"Layout","Diseño"
"Layout Update XML","XML de actualización de Layout"
"Manage Pages","Gestionar las páginas"
"Meta Data","Meta Datos"
"Meta Description","Meta Descripcción"
"Meta Keywords","Meta Palabras clave"
"New Block","Nuevo bloque"
"New Page","Nueva página"
"Page Identifier cannot consist only of numbers.","El identificador de la página no puede tener sólo números."
"Page Identifier for specified store already exist.","El identificador de la página para la tienda especificada ya existe."
"Page Information","Información de la página"
"Page Status","Estado de la página"
"Page Title","Título de la página"
"Page was successfully deleted","La página fue borrada con éxito"
"Page was successfully saved","La página fue grabada con éxito"
"Poll Manager","Gestión de votaciones"
"Product Tax Class Information","Información de la clase de impuesto al producto"
"SEF URL Identifier","Identificador URL de SEF"
"Save Block","Guardar el bloque"
"Save Page","Guardar la página"
"Show breadcrumbs for CMS pages","Mostrar el camino de navegación para páginas CMS"
"Static Blocks","Bloques estáticos"
"Status","Estado"
"Store View","Vista de la tienda"
"Such a block identifier in selected store already exist.","Ya existe un identificador de bloque similar en la tienda seleccionada"
"The page you are trying to save no longer exists","La página que está tratando de grabar ya no existe"
"This block no longer exists","Este bloque ya no existe"
"This page no longer exists","Esta página ya no existe"
"Title","Título"
"Unable to find a block to delete","Imposible encontrar un bloque para borrar"
"Unable to find a page to delete","Imposible encontrar una página para borrar"
