"%s and greater","%s y mayor"
"Advanced Search","Búsqueda Avanzada"
"All","Todo"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Mapa del sitio autogenerado"
"Catalog Advanced Search","Búsqueda avanzada en el catálogo"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Go to Home Page","Ir a la pagina de inicio"
"Grid","Cuadrícula"
"Home","Inicio"
"List","Lista"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Modifique su búsqueda"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Términos de Búsqueda Populares"
"Popular search terms","Términos de Búsqueda Populares"
"Relevance","Relevance"
"Required Fields","Campos requeridos"
"Results","Resultados"
"Search","Buscar"
"Search Settings","Configuraciones de la búsqueda"
"Search Site","Búsqueda en el sitio"
"Search Terms","Términos de búsqueda"
"Search Type","Search Type"
"Search entire store here...","Buscar en toda la tienda..."
"Search results for '%s'","Resultados de la búsqueda para '%s'"
"Search results for: '%s'","Resultados de la búsqueda para: '%s'"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","No existen términos de búsqueda disponibles."
"Yes","Yes"
"You have to specify at least one search term","Debe especificar al menos un término de búsqueda"
"Your search returns no results.","Su búsqueda no devolvió resultados."
"up to %s","hasta %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
