"# of Uses","# de usos"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Acción"
"Actions","Acciones"
"Add New Tag","Agregar una nueva etiqueta"
"Add Tags","Agregar etiquetas"
"Add Your Tags:","Agregar sus etiquetas:"
"Add to Cart","Agregar al carrito"
"Add to Wishlist","Agregar a la lista de artículos de interés"
"All Tags","Todas las etiquetas"
"Approved","Aprobado"
"Are you sure that you want to delete this tag?","Est&aacute; seguro de borrar esta etiqueta?"
"Are you sure you want to delete this tag?","Est&aacute; seguro de borrar esta etiqueta?"
"Are you sure you want to do this?","Est&aacute; seguro que desea hacer esto?"
"Are you sure?","Est&aacute; seguro?"
"Back","Volver atrás"
"Back to Tags List","Regresar a la lista de etiquetas"
"Back to view Tag","Regresar a la vista de etiquetas"
"Block Information","Información del bloque"
"CSV","CSV"
"Change status","Cambiar el estado"
"Click on a tag to view your corresponding products.","Presione sobre una etiqueta para ver sus correspondientes productos."
"Country","País"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Customers Tagged '%s'","Etiquetas de los clientes '%s'"
"Delete","Borrar"
"Delete Tag","Borrar la etiqueta"
"Disabled","Deshabilitado"
"Edit Tag","Editar la etiqueta"
"Edit Tag '%s'","Editar la etiqueta '%s'"
"Email","Correo electrónico"
"First Name","Nombre"
"General Information","Información general"
"Grid","Cuadrícula"
"ID","ID"
"Last Name","Apellido"
"List","Lista"
"My Recent Tags","Mis etiquetas recientes"
"My Tags","Mis etiquetas"
"Name","Nombre"
"New Tag","Nueva etiqueta"
"No matches found.","No se encontraron coincidencias"
"Other people marked this product with these tags:","Otras personas marcaron este producto con las siguientes etiquetas:"
"Pending","Pendiente"
"Pending Tags","Etiquetas pendientes"
"Popular","Popular"
"Popular Tags","Etiquetas populares"
"Popularity","Popularidad"
"Price","Precio"
"Product Name","Nombre del producto"
"Product SKU","Código del producto"
"Product Tags","Etiquetas del producto"
"Products","Productos"
"Products Tagged with '%s'","Productos etiquetados con '%s'"
"Products tagged with '%s'","Productos etiquetados con '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Productos etiquetados con '%s' (<a href='%s'>RSS</a>)"
"SKU","Código"
"Save Tag","Guardar la etiqueta"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Buscar resultados para '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Estado"
"Tag","Etiqueta"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Información de la etiqueta"
"Tag Name","Nombre de la etiqueta"
"Tag Name: %s","Nombre de la etiqueta: %s"
"Tag can't be empty.","La etiqueta no pude estar vacía."
"Tagged in","Etiquetado en"
"Tags","Etiquetas"
"Tags Aren't Available","Las etiquetas no están disponibles"
"Tags:","Etiquetas:"
"Telephone","Teléfono"
"Thank you. Your tag has been accepted for moderation.","Gracias. Su etiqueta ha sido transferida al sector de moderación"
"Unable to find any products tagged with '%s' in the current store","No se pudieron encontrar productos etiquetados con '%s' en la tienda actual"
"Unable to remove tag. Please, try again later.","No se pudo quitar la etiqueta. Por favor, intente más tarde."
"Unable to save tag(s)","No se pudo grabar la(s) etiqueta(s)"
"Unable to save your tag. Please, try again later.","No se pudo grabar su etiqueta. Por favor, intente más tarde."
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espacios para separar etiquetas. Use comillas simples (') para las frases."
"Uses","Usos"
"View All","Ver todos"
"View All Tags","Ver todas las etiquetas"
"View Customers","Ver los clientes"
"View Products","Ver los productos"
"Visible In","Visible en"
"XML","XML"
"You have not tagged any products yet.","No ha etiquetado ningún producto aún."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Código postal"
"You have not tagged any products yet.","You have not tagged any products yet."
