"Action","Acción"
"All types","Todos los tipos"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","El archivo de la copia de seguridad no existe"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","Copias de seguridad"
"Cannot read backup file","No se puede leer la copia de seguridad"
"Create Backup","Crear copia de seguridad"
"DB","BD"
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","Descargar"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","El archivo está comprimido con Zlib, pero esta extensión no está instalada en el servidor"
"Size, byte","Size, byte"
"Time","Fecha"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Wrong order of creation for new backup","Orden errónea para la creación de una nueva copia de seguridad"
