"-- Please Select --","-- Por favor seleccione --"
"Add New Class","Agregar una nueva clase"
"Add New Tax Rate","Agregar una nueva tasa de impuesto"
"Add New Tax Rule","Agregar una nueva regla de impuesto"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","Seguro que desea hacer esto?"
"Back","Volver atrás"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Nombre de la clase"
"Code","Code"
"Country","País"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Municipio"
"Custom price if available","Custom price if available"
"Customer Tax Class","Clase de impuesto al cliente"
"Customer Tax Class Information","Información de la clase de impuesto al cliente"
"Customer Tax Classes","Impuestos al cliente"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Borrar la clase"
"Delete Rate","Borrar la tasa"
"Delete Rule","Borrar la regla"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","Display full tax summary"
"Edit Class","Editar la clase"
"Edit Class '%s'","Editar la clase '%s'"
"Edit Rule","Editar la regla"
"Edit Tax Rate","Editar la tasa de impuesto"
"Error while deleting this class. Please try again later.","Error al borrar esta clase. Por favor, inténtelo más tarde."
"Error while deleting this rate. Incorrect rate ID","Error al borrar esta tasa. El ID de la tarifa es incorrecto."
"Error while deleting this rate. Please try again later.","Error al borrar esta tasa. Por favor, inténtelo más tarde."
"Error while deleting this tax rule. Please try again later.","Error al borrar esta regla de impuesto. Por favor, inténtelo más tarde."
"Error while saving this rate. Please try again later.","Error al grabar esta tasa. Por favor, inténtelo más tarde."
"Error while saving this tax class. Class with the same name ","Error al grabar esta clase de impuesto. Ya existe una clase con el mismo nombre."
"Error while saving this tax class. Please try again later.","Error al grabar esta clase de impuesto. Por favor, inténtelo más tarde."
"Error while saving this tax rule. Please try again later.","Error al grabar esta regla de impuesto. Por favor, inténtelo más tarde."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Antes de IVA"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Exportar las tasas de impuesto"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Importar / Exportar las tasas de impuesto"
"Import Tax Rates","Importar las tasas de impuesto"
"Inc. Tax","Con IVA"
"Incl. Tax","Con IVA"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","El dato de la tasa es incorrecto"
"Invalid data for tax rate calculation","El dato para el cálculo de tasa de impuesto es inválido"
"Invalid file format upload attempt","El formato del archivo que se intenta subir es inválido"
"Invalid file upload attempt","El intento de subir el archivo fue inválido"
"Manage Customer Tax Classes","Gestionar clases de impuesto al cliente"
"Manage Product Tax Classes","Gestionar clases de impuesto al producto"
"Manage Tax Rates","Gestionar tasas de impuestos"
"Manage Tax Rules","Gestionar reglas de impuestos"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","Nueva clase"
"New Rule","Nueva regla"
"New Tax Rate","Nueva tasa de impuesto"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","Por favor, seleccione un país"
"Please select County","Por favor, seleccione un municipio"
"Please select State","Por favor, seleccione un estado"
"Priority","Priority"
"Product Tax Class","Clase de impuesto al producto"
"Product Tax Class Information","Información de la clase de impuesto al producto"
"Product Tax Classes","Impuestos al producto"
"Rate","Rate"
"Reset","Reiniciar"
"Sales","Ventas"
"Save Class","Guardar la clase"
"Save Rate","Guardar la tasa"
"Save Rule","Guardar la regla"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"State","Estado"
"State/Region","Estado/Región"
"Tax","Impuestos"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Tasa del impuesto"
"Tax Rate Information","Información de la tasa del impuesto"
"Tax Rule Information","Información de la regla de impuesto"
"Tax Rules","Reglas de impuesto"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","La clase de impuesto fue borrada con éxito"
"Tax class was successfully saved","La clase de impuesto fue grabada con éxito"
"Tax rate was successfully deleted","La tasa de impuesto fue borrada con éxito"
