"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Rating","Agregar una nueva calificación"
"Assigned Options","Opciones asignadas"
"Be the first to review this product","Sea el primero en opinar sobre este producto"
"Default Value","Valor por defecto"
"Delete Rating","Borrar la calificación"
"Edit Rating","Editar la calificación"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Si no especifica un título de calificación para una tienda, se utilizará el valor por defecto "
"Manage Ratings","Gestionar las calificaciones"
"New Rating","Nueva calificación"
"Option Label","Etiqueta de la opción"
"Option Title","Título de la opción"
"Option Title:","Título de la opción:"
"Please select one of each ratings above","Por favor, seleccione una de las calificaciones de arriba"
"Rating Information","Información de la calificación"
"Rating Name","Nombre de la calificación"
"Rating Options","Opciones de la calificación"
"Rating Title","Título de la calificación"
"Rating Visibility","Visibilidad de la calificación"
"Rating isn't Available","La calificación no está disponible"
"Rating with the same title","Calificación con el mismo título"
"Save Rating","Guardar calificación"
"Visible In","Visible en"
