"Abandoned carts","Carritos abandonados"
"Action","Action"
"Add to Cart","Agregar al carrito"
"Add to Compare","Agregar a la lista de comparación"
"Add to Wishlist","Agregar a la lista de artículos de interés"
"Applied Coupon","Cupón aplicado"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Más vendidos"
"Bought from wishlists","Comprado desde la lista de artículos de interés"
"CSV","CSV"
"Carrier/Method","Transporte/Método"
"Carts","Carritos"
"Coupons","Cupones"
"Created at","Creado el"
"Customer","Cliente"
"Customer Name","Nombre del cliente"
"Customer Tags","Etiquetas del cliente"
"Customers","Clientes"
"Customers Report","Informe de los clientes"
"Customers Reviews","Opiniones de los clientes"
"Customers Tags","Etiquetas de los clientes"
"Customers by number of orders","Clientes por número de Pedidos"
"Customers by orders total","Clientes por total de Pedidos"
"Customers that have wishlist: %s%","Clientes que tienen lista de artículos de interés: %s%"
"Day","Día"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","Detalle"
"Discounts","Descuentos"
"Downloads","Downloads"
"Email","Correo electrónico"
"Excel","Excel"
"First Name","Nombre"
"Guest","Invitado"
"Hits","Visitas"
"ID","ID"
"Invalid date specified","Invalid date specified"
"Invoiced","Facturado"
"Items Ordered","Artículos pedidos"
"Items in Cart","Artículos en el carrito"
"Last Name","Apellido"
"Last Review","Ultima opinión"
"Link","Link"
"Low stock","Existencia baja"
"Month","Mes"
"Most Viewed","Más visto"
"Most viewed","Más visto"
"Name","Nombre"
"New Accounts","Nuevas cuentas"
"Number Added","Número agregado"
"Number Fulfilled","Número cumplido"
"Number Of Historical Uses","Número de usos históricos"
"Number Of Reviews","Número de opiniones"
"Number Of Uses","Número de usos"
"Number Purchased","Número comprado"
"Number Viewed","Número visto"
"Number of Items","Número de artículos"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of New Accounts","Número de nuevas cuentas"
"Number of Orders","Número de Pedidos"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","Número de opiniones"
"Number of Total Tags","Número total de etiquetas"
"Number of Unique Tags","Número de etiquetas únicas"
"Number of Views","Número de vistas"
"Number of items bought from a wishlist: %s","Número de artículos comprados desde una lista de artículos de interés: %s"
"Number of times deleted","Número de veces borrado"
"Number of times wishlists have been shared (emailed): %s","N&uacute;mero de veces que las listas de art&iacute;culos de inter&eacute;s fueron compartidas (enviadas por correo): %s"
"Number of wishlist conversions: %s","Número de conversiones de listas de artículos de interés: %s"
"Number of wishlist referrals: %s","Número de referidos de listas de artículos de interés: %s"
"Number of wishlists: %s","Número de listas de artículos de interés: %s"
"Offline Refunded","Reembolso fuera de línea"
"Online Refunded","Reembolso en línea"
"Orders","Pedidos"
"Out of stock","Sin existencia"
"Poducts Report","Informe de los productos"
"Popular Tags","Etiquetas populares"
"Popularity","Popularidad"
"Price","Precio"
"Product Name","Nombre del producto"
"Product Reviews","Opiniones del producto"
"Product Sku","Código del producto"
"Product Tags","Etiquetas del producto"
"Products","Productos"
"Products Report","Informe de los productos"
"Products Reviews","Opiniones de los productos"
"Products Sold","Products Sold"
"Products Tags","Etiquetas de productos"
"Products in carts","Productos en carritos"
"Purchases","Purchases"
"Quantity Ordered","Cantidad pedida"
"Quantity of Items","Cantidad de artículos"
"Rate","Rate"
"Recently Compared Products","Productos comparados recientemente"
"Recently Viewed Products","Productos vistos recientemente"
"Recently Viewed/Compared Products","Productos vistos/comparados recientemente"
"Refunded","Reembolsado"
"Reports","Informes"
"Results","Resultados"
"Revenue","Ingresos"
"Review","Opinión"
"Reviews","Opiniones"
"Reviews for %s","Opiniones para %s"
"Sales","Ventas"
"Sales Report","Informe de ventas"
"Search Terms","Términos de búsqueda"
"Shipping","Envío"
"Shopping Cart","Carrito de compras"
"Show for Current","Mostrar para el actual"
"Stock Qty","Cantidad de existencias"
"Submitted In","Enviado en"
"Submitted On","Enviado el"
"Subtotal","Subtotal"
"Tag","Etiqueta"
"Tag ""%s"" details","Detalle de etiqueta ""%s"""
"Tag Detail","Detalle de la etiqueta"
"Tag Name","Nombre de la etiqueta"
"Tag use","Uso de la etiqueta"
"Tags submited by %s","Etiquetas enviadas por %s"
"Tags submitted to %s","Etiquetas enviadas a %s"
"Tax","Impuesto"
"Tax Amount","Importe del impuesto"
"Title","Título"
"Total","Total"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Refunded","Total reembolsado"
"Total Shipping","Total de envío"
"Total Tags","Total de etiquetas"
"Total invoiced","Total facturado"
"Total refunded","Total reembolsado"
"Updated at","Actualizado en"
"Visible In","Visible en"
"Wishlist Report","Informe de la lista de artículos de interés"
"Wishlist vs. Regular Order","Lista de artículos de interés vs. Pedido habitual"
"Wishlists","Lista de artículos de interés"
"Year","Año"
"Your Recently Compared","Comparados recientemente"
"Your Recently Viewed","Vistos recientemente"
