"Add Recipient","Agregar un recipiente"
"Allow for Guests","Permitir para Invitados"
"Email Address","Dirección de correo electrónico"
"Email Address:","Dirección de correo electrónico:"
"Email templates","Plantillas de correo electrónico"
"Email to a Friend","Enviar correo electrónico a un amigo"
"Email:","Correo electrónico:"
"Enabled","Habilitado"
"Limit Sending By","Limitar el envío por"
"Link to a friend was sent.","Se envió el enlace a su amigo"
"Max Products Sent in 1 Hour","Máxima cantidad de productos enviados en 1 hora"
"Max Recipients","Máximos recipientes"
"Maximum %d email addresses allowed.","Máximo de %d direcciones de correo permitidas."
"Message:","Mensaje:"
"Name","Nombre"
"Name:","Nombre:"
"Recipient:","Recipiente:"
"Remove Email","Quitar dirección de correo"
"Select email template","Seleccionar una plantilla de correo"
"Send email","Enviar el correo"
"Send product to a friend","Enviar un correo sobre este producto a un amigo"
"Sender:","Remitente:"
"Some emails was not sent","Algunos correos no fueron enviados"
"Some problems with data.","Algunos problemas con los datos."
"You cannot email this product to a friend","No puede enviar un correo sobre este producto a un amigo"
"You cannot send more than %d times in an hour","No puede enviar más de %d veces en una hora"
