"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Enlace</a>"
"Access denied to destination folder ""%s""","Acceso denegado a la carpeta de destino ""%s"""
"Could not load file: ""%s""","No se pudo cargar el archivo: ""%s"""
"Could not save file: %s","No se pudo guardar el archivo: %s"
"Declared adapter %s not found","El adaptador declarado %s no fue encontrado"
"Destination folder ""%s"" does not exist or not access to create","La carpeta de destino ""%s"" no existe o no tiene acceso para crearla"
"Destination folder ""%s"" is not a directory","La carpeta de destino ""%s"" no es un directorio"
"Destination folder ""%s"" is not a writeable","La carpeta de destino ""%s"" no tiene permisos de escritura"
"Done","Hecho"
"Dry run set, stopping execution","Conjunto a ejecutar vacío, ejecución detenida"
"ETA: %s","Tiempo estimado de llegada: %s"
"Error field mapping! Fields list for mapping is not defined","Error de vinculación de campos! La lista de campos para crear el vínculo no está definida"
"Error occured during file opening: ""%s""","Ocurrió un error al abrir el archivo: ""%s"""
"File ""%s"" don't exist","El archivo ""%s"" no existe"
"Found %d rows","Se encontraron %d filas"
"Less than a minute","Menos de un minuto"
"Loaded successfully: ""%s""","Se cargó satisfactoriamente: ""%s"""
"Memory Used: %s","Memoria utilizada: %s"
"Method ""%s"" not defined in adapter %s","El método ""%s"" no está; definido en el adaptador %s"
"Please declare ""adapter"" and ""method"" node first","Por favor declare el nodo de ""adaptador"" y ""método"" primero"
"Processed records: %s","Registros procesados: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Se guard&oacute; satisfactoriamente: ""%s"" [%d byte(s)]"
"Sheet 1","Hoja 1"
"Skip undefined row","Omitir fila indefinida"
"Starting %s :: %s","Comenzando %s :: %s"
"Total records: %s","Registros totales: %s"
"hour","hora"
"hours","horas"
"minute","minuto"
"minutes","minutos"
