"ALL","TODO"
"ANY","CUALQUIERA"
"Add","Añadir"
"Apply","Aplicar"
"Description: %s","Descripción: %s"
"Expire at: %s","Caduca el: %s"
"FALSE","FALSO"
"If %s of these conditions are %s:","Si %s de estas condiciones són %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Nombre: %s"
"Open Chooser","Abrir el selector"
"Perform following actions","Realizar las siguientes acciones"
"Please choose a condition to add...","Por favor, seleccione una condición para añadir&hellip;"
"Please choose an action to add...","Por favor, seleccione una acción para añadir&hellip;"
"Remove","Eliminar"
"Start at: %s","Empezar el: %s"
"TRUE","VERDADERO"
"by","para"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","es"
"is not","no es"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","hasta"
