"Actions","Acciones"
"Active","Activo"
"Add New Rule","Agregar nueva regla"
"Apply","Aplicar"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar la regla s&oacute;lo si se dan las siguientes condiciones (dejar en blanco para todos los productos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar la regla s&oacute;lo a los art&iacute;culos del carrito que cumplan las siguientes condiciones (dejar en blanco para todos los art&iacute;culos)"
"Apply the rule to cart items matching the following conditions","Aplicar la regla a los artículos del carrito que cumplan las siguientes condiciones"
"Apply to","Aplicar a"
"Buy X get Y free (discount amount is Y)","Compre X y consiga Y gratis (el importe del descuento es Y)"
"By Fixed Amount","Por importe fijo"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"By Percentage of the original price","Por porcentaje del precio original"
"Cart Attribute","Atributo del carrito"
"Catalog","Catálogo"
"Conditions","Condiciones"
"Conditions combination","Combinación de condiciones"
"Coupon Code","Código del cupón"
"Coupon code","Código del cupón"
"Customer Groups","Grupos de cliente"
"Customer is new buyer: %s","El cliente es un nuevo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Date Expire","Fecha de caducidad"
"Date Start","Fecha de inicio"
"Delete Rule","Borrar la regla"
"Description","Descripción"
"Description: %s","Descripción: %s"
"Discount Qty Step (Buy X)","Paso de cantidad de descuento (compra X)"
"Discount amount","Importe del descuento"
"Edit Rule","Editar la regla"
"Edit Rule '%s'","Editar la regla '%s'"
"Expire at: %s","Caduca el: %s"
"Fixed amount discount","Importe fijo del descuento"
"Fixed amount discount for whole cart","Importe fijo del descuento para todo el carrito"
"For matching items only","Sólo para los artículos que coinciden"
"For shipment with matching items","Para envíos con artículos que coinciden"
"Free shipping","Envío gratuito"
"From Date","Desde fecha"
"General Information","Información general"
"ID","ID"
"Inactive","Inactivo"
"Maximum Qty Discount is Applied to","La cantidad máxima del descuento se aplica a"
"NOT LOGGED IN","SESIÓN NO INICIADA"
"Name: %s","Nombre: %s"
"New Rule","Nueva regla"
"No","No"
"Payment Method","Método de pago"
"Percent of product price discount","Porcentaje de descuento del precio del producto"
"Price in cart","Precio en el carrito"
"Priority","Prioridad"
"Product attribute combination","Combinación de atributos del producto"
"Products subselection","Products subselection"
"Promotions","Promociones"
"Public In RSS Feed","Público en Feed RSS"
"Quantity in cart","Cantidad en el carrito"
"Row total in cart","Total de filas en el carrito"
"Rule Information","Información de la regla"
"Rule Name","Nombre de la regla"
"Rule was successfully deleted","La regla ha sido borrada satisfactoriamente"
"Rule was successfully saved","La regla ha sido guardada satisfactoriamente"
"Save Rule","Guardar la regla"
"Shipping Country","País de envío"
"Shipping Method","Método de envío"
"Shipping Postcode","Código postal de envío"
"Shipping Region","Región de envío"
"Shipping State/Province","Estado/Provincia de envío"
"Shopping Cart Price Rule","Regla de precios del carrito de compras"
"Shopping Cart Price Rules","Reglas de precios del carrito de compras"
"Special price","Precio especial"
"Start at: %s","Empieza en: %s"
"Status","Estado"
"Stop further rules processing","Detener el procesamiento de las reglas"
"Subtotal","Subtotal"
"The page you are trying to save no longer exists","La página que usted desea guardar ya no existe"
"This rule no longer exists","Esta regla ya no existe"
"To Date","A fecha"
"To Fixed Amount","Para importe fijo"
"To Fixed Value","Para valor fijo"
"To Percentage","Para porcentaje"
"To Percentage of the original price","Para porcentaje del precio original"
"Total Items Quantity","Cantidad de artículos totales"
"Total Weight","Peso total"
"Unable to find a page to delete","Imposible encontrar una página para borrar"
"Update prices using the following information","Actualizar precios usando la siguiente información"
"Update product's %s %s: %s","Actualizar producto's %s %s: %s"
"Update the Product","Actualizar el producto"
"Uses per coupon","Usos por cupón"
"Uses per customer","Usos por cliente"
"Yes","Sí"
