"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s fue agregado a la lista de deseos. Presione <a href=""%2$s"">aquí</a> para continuar comprando"
"%s's Wishlist","Lista de Deseos de %s"
"* Required Fields","* Campos Requeridos"
"Add All to Cart","Agregar todo al carrito"
"Add to Cart","Agregar al carrito"
"Add to Wishlist","Agregar a la lista de deseos"
"Added On","Agregado"
"Are You sure?","Está seguro?"
"Are you sure you want to remove this product from your wishlist?","¿Está seguro de quitar este producto de su lista de artículos de interés?"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"Back","Volver atrás"
"Can't save description %s","No se puede guardar la descripción %s"
"Cannot create wishlist","No se puede crear la lista de artículos de interés"
"Cannot specify product","No se puede especificar el producto"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque esta casilla si quiere agregar un enlace a un feed de RSS para su lista de artículos de interés."
"Comment","Comentario"
"Email Sender","Remitente de correo electrónico"
"Email Template","Plantilla de correo electrónico"
"Email address can't be empty.","La dirección de correo no puede estar vacía."
"Email addresses, separated by commas","Direcciones de correo electrónico separadas por comas"
"Enabled","Habilitado"
"General Options","Opciones generales"
"Go to Wishlist","Ir a la Lista de Deseos"
"Last Added Items","Ultimos artículos agregados"
"Message","Mensaje"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Mi Lista de Deseos (%d item)"
"My Wishlist (%d items)","Mi Lista de Deseos (%d items)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor escriba direcciones de correo electrónico válidas separadas por comas. Por ejemplo juan@dominio.com, jose@dominio.com"
"Please, enter your comments...","Por favor, escriba sus comentarios..."
"Product","Producto"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Enlace RSS a la lista de artículos de interés %s's"
"Remove Item","Quitar el artículo"
"Share Wishlist","Compartir Lista de Deseos"
"Share Your Wishlist","Compartir Mi Lista de Deseos"
"Share options","Compartir opciones"
"Sharing Information","Compartiendo información"
"There was an error while adding item to wishlist.","Hubo un error al agregarse el artículo a la lista de deseos."
"There was an error while adding item to wishlist: %s","Hubo un error al agregarse el artículo a la lista de deseos: %s"
"There was an error while deleting item from wishlist.","Hubo un error al borrar el artículo de la lista de deseos."
"There was an error while deleting item from wishlist: %s","Hubo un error al borrar el artículo de la lista de deseos: %s"
"This product(s) is currently out of stock:","Este(os) producto(s) se encuentra fuera de existencia:"
"Update Wishlist","Actualizar Lista de Deseos:"
"View Product","Ver el producto"
"Wishlist","Lista de Deseos"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Compartir Lista de Deseos"
"Wishlist is empty now.","Lista de Deseos está vacía."
"You have no items in your wishlist.","No tiene artículos en su lista de deseos."
"You input not valid email address.","Ingresó una dirección de correo electrónico inválida."
"Your Wishlist was successfully shared","Su Lista de Deseos fue compartida con éxito"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Mi Lista de Deseos"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
