"# of Uses","# keer gebruikt"
"%s tag(s) have been accepted for moderation","%s tag(s) zijn geaccepteerd voor beoordeling"
"Action","Actie"
"Actions","Acties"
"Add New Tag","Nieuwe tag toevoegen"
"Add Tags","Tags toevoegen"
"Add Your Tags:","Uw tags toevoegen"
"Add to Cart","In winkelwagen"
"Add to Wishlist","Zet op verlanglijst"
"All Tags","Alle tags"
"Approved","Goedgekeurd"
"Are you sure that you want to delete this tag?","Weet u zeker dat u deze tag wilt verwijderen?"
"Are you sure you want to delete this tag?","Weet u zeker dat u deze tag wilt verwijderen?"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"Are you sure?","Weet u het zeker?"
"Back","Terug"
"Back to Tags List","Terug naar tags-lijst"
"Back to view Tag","Terug naar tag bekijken"
"Block Information","Blok informatie"
"CSV","CSV"
"Change status","Status wijzigen"
"Click on a tag to view your corresponding products.","Klik op een tag om de btreffende producten te bekijken"
"Country","Land"
"Customer Since","Klant sinds"
"Customers","Klanten"
"Customers Tagged '%s'","Klanten getagd ‘%s’"
"Delete","Verwijder"
"Delete Tag","Tag verwijderen"
"Disabled","Uitgeschakeld"
"Edit Tag","Tag bewerken"
"Edit Tag '%s'","Tag ‘%s’ bewerken"
"Email","E-mail"
"First Name","Voornaam"
"General Information","Algemene Informatie"
"Grid","Foto-tabel"
"ID","ID"
"Last Name","Achternaam"
"List","Lijst"
"My Recent Tags","Mijn recente tags"
"My Tags","Mijn tags"
"Name","Naam"
"New Tag","Nieuwe tag"
"No matches found.","Geen resultaten"
"Other people marked this product with these tags:","Anderen markeerden dit product met deze tags:"
"Pending","Wachtende"
"Pending Tags","Hangende tags"
"Popular","Populair"
"Popular Tags","Populaire tags"
"Popularity","Populariteit"
"Price","Prijs"
"Product Name","Productnaam"
"Product SKU","Artikelnummer"
"Product Tags","Eigen tags"
"Products","Producten"
"Products Tagged with '%s'","Producten getagd met ‘%s’"
"Products tagged with '%s'","Producten getagd met ‘%s’"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Producten getagd met ‘%s’ (<a href=’%s’>RSS</a>)"
"SKU","Artikelnummer"
"Save Tag","Tag opslaan"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Zoekresultaten voor ‘%s’ (<a href=’%s’>RSS</a>)"
"Search Terms","Zoektermen"
"Status","Status"
"Tag","Tag"
"Tag ""%s"" has already been added to the product","Tag ""%s"" is al aan het product toegevoegd"
"Tag Information","Tag-gegevens"
"Tag Name","Tag-naam"
"Tag Name: %s","Tag-naam: %s"
"Tag can't be empty.","Tag mag niet leeg zijn"
"Tagged in","Tag toegevoegd in"
"Tags","Tags"
"Tags Aren't Available","Tags zijn niet beschikbaar"
"Tags:","Tags"
"Telephone","Telefoon"
"Thank you. Your tag has been accepted for moderation.","Bedankt. Uw tag is geaccepteerd voor beoordeling"
"Unable to find any products tagged with '%s' in the current store","Kon geen producten vinden met de tag ‘%s’ in de huidige winkel"
"Unable to remove tag. Please, try again later.","Kon tag niet verwijderen. Probeer later opnieuw."
"Unable to save tag(s)","Kon tag(s) niet opslaan."
"Unable to save your tag. Please, try again later.","Kon uw tag niet opslaan. Probeer later opnieuw."
"Use spaces to separate tags. Use single quotes (') for phrases.","Gebruik spaties om tags te scheiden. Gebruik enkele aanhalingstekens (‘) voor woordgroepen."
"Uses","Gebruiken"
"View All","Bekijk alles"
"View All Tags","Alle tags bekijken"
"View Customers","Klanten bekijken"
"View Products","Producten bekijken"
"Visible In","Zichtbaar in"
"XML","XML"
"You have not tagged any products yet.","U hebt nog geen produten een tag gegeven."
"Your tag was successfully deleted","Uw tag is met succes verwijderd"
"Your tag was successfully saved","Uw tag is opgeslagen"
"ZIP/Post Code","Postcode"
"You have not tagged any products yet.","You have not tagged any products yet."
