"%s is not correct comparsion method.","% is geen juiste vergelijkings methode"
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","Let op! Deze instellingen gelden voor de artikelen, niet voor de hele winkelwagen."
"Allow Qty Below 0","Aantal onder 0 toestaan"
"Allow Qty Below 0 and Notify Customer","Aantal onder 0 toestaan en klant inlichten"
"Backorders","Nabestellingen"
"By Fixed value","Met vast bedrag"
"By Percentage","Met percentage"
"Can not specify product identifier for order item","Kan geen product-identifier specificeren voor besteld artikel"
"Catalog Inventory","Catalogus voorraad"
"Decrease Stock When Order is Placed","Verminder voorraad wanneer bestelling is geplaatst"
"In Stock","Op voorraad"
"Inventory","Voorraad"
"Inventory API","Voorraad API"
"Inventory Section","Voorraad sectie"
"Manage Stock","Voorraad beheren"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in winkelwagen"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"No Backorders","Geen backorders"
"Notify for Quantity Below","Melden bij aantal lager dan"
"Out of Stock","Niet op voorraad"
"Product Stock Options","Instellingen productvoorraad"
"Qty for Items' Status to become Out of Stock","Aantal waarbij de status wijzigt in 'Niet in voorraad'"
"Retrieve stock data","Voorraadgegevens ophalen"
"Retrieve stock data by product ids","Voorraadgegevens via product-ID ophalen"
"Rule price","Regel prijs"
"Set Items' Status to be In Stock When Order is Cancelled","Status wijzigen naar 'Op Voorraad' bij annuleren van order."
"Some of the products are currently out of stock","Enkele  producten zijn momenteel niet in voorraad"
"Some of the products can not be ordered in requested quantity","Enkele producten kunnen niet in het gewenste aantal worden besteld"
"Some of the products cannot be ordered in the requested quantity","Enkele producten kunnen niet in het gewenste aantal worden besteld"
"Stock Options","Voorraadopties"
"Stock item for Product in option is not valid","Voorraadartikel voor gekozen product is niet geldig"
"Stock item for Product is not valid","Voorraadartikel voor product is niet geldig"
"The maximum quantity allowed for purchase is %s.","Het maximale aankoop-aantal is %s."
"The minimum quantity allowed for purchase is %s.","Het minimale aankoop-aantal is %s."
"The requested quantity for ""%s"" is not available.","Het gewenste aantal voor “%s” is niet beschikbaar."
"The requested quantity is not available.","Het gewenste aantal is niet beschikbaar."
"This product is currently out of stock.","Dit product is momenteel niet in voorraad"
"To Fixed Value","Tot vast bedrag"
"To Percentage","Naar percentage"
"Update","Update"
"Update product stock data","Productvoorraad bijwerken"
"Update the Product","Het product updaten"
