"%s was successfully added to your shopping cart.","%s is  toegevoegd aan uw winkelwagen."
"&laquo; Back to Billing Information","&laquo; Terug naar betaal-informatie"
"&laquo; Back to Select Addresses","&laquo; Terug naar adressen"
"&laquo; Back to Shopping Cart","&laquo; Terug naar winkelwagen"
"* Required Fields","* Verplichte velden"
"Add New Address","Nieuw adres toevoegen"
"Add New Condition","Nieuwe voorwaarde toevoegen"
"Add to Cart","In winkelwagen"
"Add to Compare","Toon in vergelijking"
"Add to Wishlist","Zet op verlanglijst"
"Address","Adres"
"Address %s of %s","Adres %s van %s"
"After adding a product redirect to shopping cart","Winkelwagen tonen na toevoegen van een product"
"Allow Guest Checkout","Afrekenen als gast toestaan"
"Already registered?","Een vorige keer uw gegevens bewaard?"
"An error occurred in the process of payment","Er is een fout opgetreden tijdens het betalen"
"Apply Coupon","Kortingsbon gebruiken"
"Are you sure you would like to remove this item from the shopping cart?","Weet u zeker dat u dit artikel wilt verwijderen uit uw winkelwagen?"
"Back","Terug"
"Back to Shipping Information","Terug naar afleveradres"
"Based on your selection, you may be interested in the following items:","Gebaseerd op uw selectie, bent u wellicht ook geïnteresseerd in de volgende producten:"
"Billing Address","Factuuradres"
"Billing Information","Betaalgegevens"
"Billing Information - %s","Betaalgegevens - %s"
"Can not add item to shopping cart","Kan artikel niet toevoegen aan winkelwagen"
"Can not apply coupon code.","Kan kortingscode niet toepassen."
"Can't open overview page","Kan overzicht niet openen"
"Cancel Coupon","Kortingsbon annuleren"
"Cannot remove item","Kan item niet verwijderen"
"Cannot update shopping cart","Kan winkelwagen niet bijwerken"
"Card Verification Number Visual Reference","Kaart bevestigingsnummer visuele referentie"
"Cart Subtotal:","Subtotaal winkelwagen:"
"Change","Wijzigen"
"Change Billing Address","Wijzigen"
"Checkbox text","Tekst checkbox"
"Checkout","Afrekenen"
"Checkout Conditions","Betalingsvoorwaarden"
"Checkout Options","Betaalopties"
"Checkout Section","Sectie Afrekenen"
"Checkout Terms and Conditions","Algemene Voorwaarden"
"Checkout as Guest","Eenmalige aankoop. Geen account aanmaken"
"Checkout as a Guest or Register","Voor het eerst in deze webshop?"
"Checkout method","Bestelwijze"
"Checkout with Multiple Addresses","Afrekenen met meerdere adressen"
"City","Plaats"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%s"" target=""_blank"">hier</a> om een kopie van uw orderbevestiging af te drukken."
"Close","Sluiten"
"Company","Bedrijf"
"Condition Name","Naam van voorwaarde"
"Condition was successfully deleted","Voorwaarde is verwijderd"
"Condition was successfully saved","Voorwaarde is opgeslagen"
"Configurable product image","Afbeelding configureerbaar product"
"Confirm Password","Bevstig het wachtwoord"
"Content","Inhoud"
"Content Height","Hoogte inhoud"
"Content Height (css)","Hoogte inhoud (css)"
"Continue","Ga verder"
"Continue Shopping","Ga verder met winkelen"
"Continue to Billing Information","Ga verder naar factuuradres"
"Continue to Review Your Order","Ga verder met het bekijken van uw bestelling"
"Continue to Shipping Information","Ga verder naar afleveradres"
"Country","Land"
"Coupon code ""%s"" is not valid.","Kortingscode “%s” is niet geldig."
"Coupon code ""%s"" was applied successfully.","Kortingscode was succesvol toegepast."
"Coupon code was canceled successfully.","Kortingscode is geannuleerd."
"Create Billing Address","Factuuradres aanmaken"
"Create Shipping Address","Afleveradres aanmaken"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Probleem bij het opslaan van gegevens"
"Default Billing","Standaard-betaling"
"Default Shipping","Standaard-verzending"
"Delete Condition","Voorwaarde verwijderen"
"Details","Details"
"Disable Onepage Checkout","Afrekenen op &eacute:&eacute;n pagina uitschakelen"
"Disabled","Uitgeschakeld"
"Discount Codes","Kortingcodes"
"Display Cart Summary","Beknopte inhoud winkelwagen tonen"
"Display Shopping Cart Sidebar","Zijbalk winkelwagen tonen"
"Display item quantities","Artikel-aantallen tonen"
"Display number of items in cart","Aantal artikelen in winkelwagen tonen"
"Easy access to your order history and status","Extra mogelijkheden: verlanglijst (bookmarks), meerdere afleveradressen, tags, reviews, etc."
"Edit","Wijzigen"
"Edit Address","Adres bewerken"
"Edit Billing Address","Factuuradres bewerken"
"Edit Items","Artikelen bewerken"
"Edit Shipping Address","Afleveradres bewerken"
"Edit Terms and Conditions","Algemene Voorwaarden bewerken"
"Edit Your Cart","Ga terug naar uw winkelwagen"
"Email Address","E-mailadres"
"Enable Terms and�Conditions","Algemene Voorwaarden inschakelen"
"Enabled","Ingeschakeld"
"Enter a New Address","Voer een nieuw adres in"
"Enter your coupon code if you have one.","Voer een kortingscode in als u er een heeft."
"Enter your destination to get a shipping estimate.","Voer een bestemming in om een schatting te krijgen van de verzendkosten"
"Error while deleting this condition. Please try again later.","Fout tijdens het verwijderen van deze voorwaarde. Probeert het later opnieuw a.u.b."
"Error while saving this condition. Please try again later.","Fout tijdens het opslaan van deze voorwaarde. Probeert het later opnieuw a.u.b."
"Estimate Shipping and Tax","Verzendingkosten en BTW schatten"
"Excl. Tax","Excl. BTW"
"Fast and easy check out","Maar &eacute;&eacute;n keer invoeren, inzicht in uw eerdere bestellingen, met een muisklik opnieuw bestellen"
"Fax","Fax"
"Forgot an Item?","Iets vergeten?"
"Forgot your password?","Uw wachtwoord vergeten?"
"Get a Quote","Kostenopgave tonen"
"Grand Total:","Te betalen:"
"Grouped product image","Afbeelding gegroepeerd product"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. BTW"
"Invalid data","Ongeldige gegevens"
"Invalid email address ""%s""","Ongeldig e-mailadres ""%s"""
"Invalid shipping method.","Ongeldige verzendwijze"
"Items","Artikelen"
"Load customer quote error","Fout bij laden van klant-offerte"
"Loading next step...","Bezig met laden van de volgende stap..."
"Login","Inloggen"
