"--Please Select--","--Selecteer a.u.b.--"
"<label>Make Check payable to:</label> %s","<label>Schrijf cheque uit aan:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Schrijf cheque uit aan:</label> %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Kan configuratie van betaalwijze met code %s niet ophalen"
"Can not retrieve payment info model object.","Kan betaalgegevens van ""model object"" niet ophalen."
"Can not retrieve payment method instance","Kan instance van betaalwijze niet ophalen"
"Can not retrieve payment method model object.","Kan modelobject betaalwijze niet ophalen"
"Card Verification Number","Kaart-verificatienummer"
"Check / Money order","Bestelling met cheque / kontant"
"Credit Card Number","Creditcard Nummer"
"Credit Card Number: %s","Creditcard-nummer: %s"
"Credit Card Number: xxxx-%s","Creditcard-nummer: xxxx-%s"
"Credit Card Type","Creditcard-type"
"Credit Card Type: %s","Creditcard-type: %s"
"Credit Card Types","Credit Card Type"
"Credit Card Verification","Credit Card Verficatie"
"Enabled","Ingeschakeld"
"Expiration Date","Vervaldatum"
"Expiration Date: %s/%s","Vervaldatum: %s/%s"
"Make Check payable to","Schrijf cheque uit aan"
"Make Check payable to: %s","Schrijf cheque uit aan: %s"
"Maximum Order Total","Maximaal Order Totaal"
"Minimum Order Total","Minimaal order totaal"
"Month","Maand"
"Name on Card","Naam op kaart"
"Name on the Card: %s","Naam op de kaart: %s"
"New order status","Status nieuwe bestelling"
"Payment Methods","Betaalwijzen"
"Payment Methods Section","Sectie Betaalwijzen"
"Payment from Specific countries","Betaling van specifieke landen."
"Payment from applicable countries","Betaling van landen die van toepassing zijn."
"Purchase Order Number","Inkooporder-nummer"
"Purchase Order Number: %s","Inkooporder: %s"
"Purchase order","Inkooporder"
"Saved CC","Opgeslagen CC"
"Send Check to","Stuur cheque naar"
"Send Check to:","Stuur cheque naar:"
"Sort order","Sorteer volgorde"
"Title","Titel"
"What is this?","Wat is dit?"
"Year","Jaar"
"Zero Subtotal Checkout","Nul-subtotaal Afrekenen"
