"%s and greater","%s en groter"
"Advanced Search","Geavanceerd zoeken"
"All","Alle"
"Applies for ""Like"" Search type only","Alleen bij zoekopdrachten met 'Like'"
"Apply Layered Navigation if search results are less than","Gelaagde navigatie gebruiken als er minder zoekresultaten zijn dan"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Wijziging attribuut-instellingen is gekoppeld aan zoekindex. Voer <a href=""%s"">Herstel Zoekindex</a> uit a.u.b."
"Autogenerated site map","Automatisch aangemaakte sitemap"
"Catalog Advanced Search","Catalogus geavanceerd zoeken"
"Catalog Search","Catalogus doorzoeken"
"Don't see what you're looking for?","Niet gevonden wat u zocht?"
"Go","Go"
"Go to Home Page","Ga naar Home"
"Grid","Foto-tabel"
"Home","Home"
"List","Lijst"
"Maximum Query Length","Maximale lengte zoekopdracht"
"Maximum Query Words Count","Maximale aantal woorden in zoekopdracht"
"Maximum Search query  length is %s. Your query was cut.","Maximale lengte van zoekopdracht is %s. Uw opdracht is afgekapt."
"Minimal Query Length","Minimale lengte zoekopdracht"
"Modify your search","Zoekopdracht bewerken"
"No","Nee"
"No items were found using the following search criteria.","Er zijn geen items gevonden met de volgende zoekcriteria"
"Please enter ""0"" to enable layered navigation for any number of results","Geef '0' in om gelaagde navigatie in te schakelen voor elk aantal resultaten"
"Popular Search Terms","Populaire zoekwoorden"
"Popular search terms","Populaire zoekwoorden"
"Relevance","Relevantie"
"Required Fields","Verplichte velden"
"Results","Resultaten"
"Search","Zoeken"
"Search Settings","Zoekinstellingen"
"Search Site","Doorzoek site"
"Search Terms","Zoektermen"
"Search Type","Zoektype"
"Search entire store here...","Doorzoek de hele winkel"
"Search results for '%s'","Zoekresultaten voor ‘%s’"
"Search results for: '%s'","Zoekresultaten voor ‘%s’"
"Subscribe to Feed","Abonneren op Feed"
"There are no search terms available.","Er zijn momenteel geen populaire trefwoorden beschikbaar."
"Yes","Ja"
"You have to specify at least one search term","U moet tenminste &eacute;&eacute;n zoekterm opgeven"
"Your search returns no results.","Uw zoekactie had geen resultaat"
"up to %s","tot %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d artikel(en)</strong> gevonden met de volgende zoekopdracht"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
