"Billing Information","Betaalgegevens"
"Change Payment Method","Wijzigen"
"Change Shipping Address","Wijzigen"
"Edit Shopping Cart","Winkelwagen bewerken"
"Email","E-mail"
"Incl. Tax","Incl. BTW"
"Items in Your Shopping Cart","Artikelen in uw winkelwagen"
"No shipping method required.","Geen verzendwijze nodig"
"PayPal Account","PayPal Account"
"PayPal Email","PayPal e-mail"
"Payment Method","Betaalwijze"
"Place an Order","Plaats een bestelling"
"Please select a shipping method...","Selecteer een verzendwijze"
"Price","Prijs"
"Product Name","Productnaam"
"Qty","Aantal"
"Review Order","Bestelling bekijken"
"Shipping Address","Afleveradres"
"Shipping Information","Verzendgegevens"
"Shipping Method","Verzendwijze"
"Sorry, no quotes are available for this order at this time.","Sorry, er zijn momenteel geen offertes beschikbaar voor deze bestelling"
"Submitting order information...","Bezig met verzenden van bestelgegevens"
"Subtotal","Subtotaal"
"Update Shipping Method","Verzendwijze updaten"
"You will be redirected to PayPal website when you place an order.","U wordt doorgestuurd naar de PayPal website nadat u een bestelling plaatst."
"You will be redirected to Paypal in a few seconds.","Over een paar seconden wordt u doorgestuurd naar PayPal."
"Your billing address will be ignored and you will be redirected to PayPal website","Uw factuuradres zal worden genegeerd en u wordt doorverwezen naar de PayPal website"
