"ALL","ALLE"
"ANY","ANY"
"Add","Toevoegen"
"Apply","Toepassen"
"Description: %s","Omschrijving: %s"
"Expire at: %s","Verloopt op: %s"
"FALSE","ONJUIST"
"If %s of these conditions are %s:","Als %s van deze voorwaarden %s zijn:"
"Invalid discount amount.","Ongeldig kortingsbedrag"
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Naam: %s"
"Open Chooser","Kiezer openen"
"Perform following actions","Voer de volgende acties uit"
"Please choose a condition to add...","Kies een conditie om toe te voegen aub..."
"Please choose an action to add...","Kies een actie om toe te voegen..."
"Remove","Verwijderen"
"Start at: %s","Begin op: %s"
"TRUE","WAAR"
"by","door"
"contains","bevat"
"does not contain","bevat niet"
"equals or greater than","gelijk aan of groter dan"
"equals or less than","gelijk aan of kleiner dan"
"greater than","groter dan"
"is","is"
"is not","is niet"
"is not one of","behoort niet tot"
"is one of","behoort tot"
"less than","kleiner dan"
"to","naar"
