"Actions","Acties"
"Are you sure?","Weet u het zeker?"
"Date Added","Datum toegevoegd"
"Error while marking as read. Please try again later.","Fout tijdens het markeren als gelezen. Probeer het later nog een keer."
"Error while marking. Please try again later.","Fout tijdens het markeren. Probeer het later nog een keer."
"Error while removing. Please try again later.","Fout tijdens het verwijderen. Probeer het later nog een keer."
"Last update","Laatste wijziging"
"Mark as Read","Markeren als gelezen"
"Mark as read","Markeren als gelezen"
"Message","Bericht"
"Message was successfully marked as read","Bericht is gemarkeerd als gelezen"
"Message was successfully removed","Bericht is  verwijderd."
"Messages Inbox","Berichten Inbox"
"Notifications","Meldingen"
"Please select messages","Selecteer berichten a.u.b."
"Read Details","Details lezen"
"Remove","Verwijderen"
"Severity","Ernst"
"Show List","Lijst tonen"
"Show Toolbar","Toolbar tonen"
"Total of %d record(s) were successfully marked as read","Totaal van % record(s) gemarkeerd als gelezen"
"Total of %d record(s) were successfully removed","Totaal van % record(s) verwijdered"
"Unable to proceed. Please, try again","Kan niet doorgaan. Probeer het nog een keer.a.u.b."
"Update frequency","Update-frequentie"
"Use HTTPS to get feed","Gebruik HTTPS om de feed op te halen"
"critical","kritiek"
"major","belangrijk"
"minor","gering"
"notice","melding"
