"-- Please select --","-- Selecteer a.u.b. --"
"Allowed currencies","Toegestane valuta"
"Base currency","Basis-valuta"
"Cannot retrieve rate from %s","Kan koers niet opvragen van %s"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","Ga verder %raquo;"
"Country","Land"
"Country Api","Land-API"
"Country and Format Type combination should be unique","Combinatie van land en formaattype moet uniek zijn"
"Currency","Valuta"
"Currency Options","Valuta-opties"
"Currency Setup","Valuta-instellingen"
"Currency Update Warnings","Waarschuwingen valuta-update"
"Currency will be used for all online payment transactions","Valuta zal worden gebruikt voor alle online betalingstransacties"
"Default display currency","Standaard-weergave valuta"
"Directory","Directory"
"Enabled","Ingeschakeld"
"Error Email Recipient","Fout e-mail ontvanger"
"Error Email Sender","Fout e-mail afzender"
"Error Email Template","Fout e-mail template"
"FATAL ERROR:","FATALE FOUT:"
"Frequency","Frequentie"
"Installed Currencies","Geinstalleerde valuta"
"Invalid Import Service Specified","Ongeldige importservice opgegeven"
"Invalid country code: %s","Ongeldige landcode: %s"
"Invalid rates received","Ongeldige koersen ontvangen"
"Invalid target currency","Ongeldig doel-valuta"
"List of countries","Landenlijst"
"List of regions in specified country","Lijst van regio's in bepaald land"
"Region","Regio"
"Region Api","Regio-API"
"Remove space from currency sign","Spatie van valutateken verwijderen"
"Scheduled Import Settings","Instellingen geplande import"
"Select Your Currency","Selecteer uw valuta"
"Service","Service"
"Start Time","Starttijd"
"State/Province","Provincie"
"Strikeiron Email Update Warnings","Meldingen van Strikeiron (adrescontrole USA)"
"Unable to initialize import model","Kan geen import-model initialiseren"
"Undefined rate from ""%s-%s""","Ongedefinieerde koers van “%s-%s”"
"WARNING:","WAARSCHUWING:"
"Webservicex","Webservicex"
"Your current currency is: %s","Uw huidige valuata is: %s"
