"* Required Fields","* Verplichte velden"
"Add","Toevoegen"
"Add Gift Message","Bericht aan cadeau toevoegen"
"Allow Gift Messages for Order Items","Cadeauberichten toestaan bij bestelde artikelen"
"Allow Gift Messages on Order Level","Cadeauberichten toestaan bij hele bestelling"
"Are you sure?","Weet u het zeker?"
"Cancel","Annuleren"
"Check this checkbox if you want to add gift messages to your items.","Vink deze checkbox aan als u een cadeauberichten wilt toevoegen aan uw artikelen"
"Check this checkbox if you want to add gift messages.","Vink deze checkbox aan als u cadeauberichten wilt toevoegen"
"Close","Sluiten"
"Do you have any gift items in your order?","Zitten er cadeaus bij uw bestelling?"
"Edit","Aanpassen"
"Edit Gift Message","Cadeaubericht bewerken"
"Enter a gift message for each item in your order.","Voer een cadeaubericht in voor elk artikel in uw bestelling."
"Enter a gift message for entire order.","Voer een cadeaubericht in voor gehele bestelling"
"Enter a gift message for this address.","Voer een cadeau bericht in voor dit adres"
"Error while saving gift message","Fout tijdens opslaan van dit cadeaubericht"
"From","Van"
"Gift Message","Bericht bij cadeau"
"Gift Messages","Cadeau-berichten"
"Gift message has been successfully saved","Cadeaubericht is opgeslagen"
"Item %d of %d","Artikel %d van %d"
"Message","Bericht"
"No","Nee"
"Remove","Verwijderen"
"Save","Opslaan"
"Save Gift Message","Cadeaubericht opslaan"
"To","Aan"
"Unknown entity type","Onbekend entiteittype"
"Use config","Gebruik config"
"Yes","Ja"
"You can leave a box blank if you don't wish to add a gift message for the item.","U kunt het veld leeg laten als u geen cadeaubericht wilt toevoegen aan het artikel."
"You can leave a box blank if you don't wish to add a gift message for this address.","U kunt het veld leeg laten als u geen cadeaubericht wilt toevoegen voor dit adres."
"You can leave a box blank if you don't wish to add a gift message for whole order.","U kunt het veld leeg laten als u geen cadeaubericht wilt toevoegen aan de hele bestelling"
"Your gift message has been successfully removed","Uw cadeaubericht is verwijderd"
"Your gift message has been successfully saved","Uw cadeaubericht is opgeslagen"
"Your gift message successfully removed","Uw cadeaubericht is verwijderd"
"Your gift message successfully saved","Uw cadeaubericht is opgeslagen"
