"Add Recipient","Voeg ontvanger toe"
"Allow for Guests","Toestaan voor gasten"
"Email Address","E-mailadres"
"Email Address:","E-mailadres:"
"Email templates","E-mail templates"
"Email to a Friend","E-mail naar een vriend"
"Email:","E-mail:"
"Enabled","Ingeschakeld"
"Limit Sending By","Beperk verzending door"
"Link to a friend was sent.","Link naar een vriend is verstuurd"
"Max Products Sent in 1 Hour","Maximaal aantal producten verzonden per uur"
"Max Recipients","Max. ontvangers"
"Maximum %d email addresses allowed.","Maximum %d e-mailadressen toegestaan."
"Message:","Bericht:"
"Name","Naam"
"Name:","Naam:"
"Recipient:","Ontvanger:"
"Remove Email","Verwijder e-mail"
"Select email template","Selecteer e-mail template"
"Send email","Verstuur e-mail"
"Send product to a friend","Verstuur product aan een vriend"
"Sender:","Afzender:"
"Some emails was not sent","Sommige e-mails zijn niet verzonden"
"Some problems with data.","Enkele problemen met data"
"You cannot email this product to a friend","U kunt dit product niet versturen naar een vriend"
"You cannot send more than %d times in an hour","U kunt niet vaker dan %d keer per uur versturen"
