"(eg: domain.com/identifier)","(bijv: domein.nl/identifier)"
"Action","Actie"
"Add New Block","Nieuw blok toevoegen"
"Add New Page","Nieuwe pagina toevoegen"
"All countries","Alle landen"
"Block Information","Blok informatie"
"Block Title","Bloktitel"
"Block was successfully deleted","Blok is met succes verwijderd"
"Block was successfully saved","Blok is met succes opgeslagen"
"CMS","CMS"
"CMS Home Page","CMS homepage"
"CMS No Route Page","CMS-pagina Niet Gevonden"
"Content","Inhoud"
"Custom Design","Eigen ontwerp"
"Custom Theme","Eigen Thema"
"Custom Theme From","Eigen thema van"
"Custom Theme To","Eigen thema tot"
"Customer Tax Class Information","Gegevens BTW-tariefgroep klant"
"Date Created","Datum aangemaakt"
"Delete Block","Blok verwijderen"
"Delete Page","Pagina verwijderen"
"Description","Beschrijving"
"Disabled","Uitgeschakeld"
"Edit Block","Blok bewerken"
"Edit Block '%s'","Blok '%s' bewerken"
"Edit Page","Pagina Bewerken"
"Edit Page '%s'","Pagina '%s' bewerken"
"Enabled","Ingeschakeld"
"General Information","Algemene Informatie"
"Go to Home Page","Ga naar Home"
"Home","Home"
"Identifier","Identifier"
"Keywords","Keywords"
"Last Modified","Laatst gewijzigd"
"Layout","Layout"
"Layout Update XML","Layout update XML"
"Manage Pages","Beheer pagina's"
"Meta Data","Meta-gegevens"
"Meta Description","Meta-omschrijving"
"Meta Keywords","Meta-keywords"
"New Block","Nieuw blok"
"New Page","Nieuwe pagina"
"Page Identifier cannot consist only of numbers.","Pagina-identifier mag niet alleen uit getallen bestaan."
"Page Identifier for specified store already exist.","Pagina-identifier voor opgegeven winkel bestaat al."
"Page Information","Paginagegevens"
"Page Status","Pagina status"
"Page Title","Paginatitel"
"Page was successfully deleted","Pagina is met succes verwijderd"
"Page was successfully saved","Pagina is met succes opgeslagen"
"Poll Manager","Beheer poll"
"Product Tax Class Information","BTW-tariefgegevens van product"
"SEF URL Identifier","SEF URL-identifier"
"Save Block","Blok opslaan"
"Save Page","Pagina opslaan"
"Show breadcrumbs for CMS pages","Kruimelpad tonen voor CMS-pagina's"
"Static Blocks","Statische blokken"
"Status","Status"
"Store View","Winkelzicht"
"Such a block identifier in selected store already exist.","Zo'n blok identifier bestaat al in de geselecteerde winkel."
"The page you are trying to save no longer exists","De pagina die u probeert op te slaan bestaat niet meer"
"This block no longer exists","Dit blok bestaat niet meer"
"This page no longer exists","Deze pagina bestaat niet meer"
"Title","Titel"
"Unable to find a block to delete","Geen blok gevonden om te verwijderen"
"Unable to find a page to delete","Kan geen pagina vinden om te verwijderen"
