"Actions","Acties"
"Add Answer","Antwoord toevoegen"
"Add New Answer","Nieuw antwoord toevoegen"
"Add New Poll","Nieuwe poll toevoegen"
"Answer Title","Antwoordtitel"
"Answer Title:","Antwoordtitel:"
"Answer was successfully saved","Antwoord is opgeslagen"
"Answer with the same title in this poll","Antwoord met dezelfde titel in deze poll"
"Are you sure you want to delete it?","Weet u zeker dat u het wilt verwijderen?"
"Assigned Answers","Toegewezen antwoorden"
"Closed","Gesloten"
"Community Poll","Peiling"
"Date Closed","Datum gesloten"
"Date Posted","Datum geplaatst"
"Delete","Verwijder"
"Delete Answer","Antwoord verwijderen"
"Delete Poll","Poll verwijderen"
"Disallow voting in a poll multiple times from same IP-address","Meerdere malen stemmen in een poll vanaf zelfde IP-adres niet toestaan."
"Edit Answer '%s'","Bewerken antwoord ‘%s’"
"Edit Poll '%s'","Bewerken poll ‘%s’"
"Edit Poll Answer","Poll-antwoord bewerken"
"ID","ID"
"Invalid Answer","Ongeldig antwoord"
"New Poll","Nieuwe poll"
"Number of Responses","Aantal reacties"
"Open","Open"
"Poll Answers","Poll-antwoorden"
"Poll Information","Poll-gegevens"
"Poll Manager","Beheer poll"
"Poll Question","Poll-vraag"
"Poll information","Poll-gegevens"
"Poll not exists","Poll bestaat niet"
"Poll with the same question","Poll met dezelfde vraag"
"Save Answer","Antwoord opslaan"
"Save Poll","Poll opslaan"
"Status","Status"
"Unable to find answer to delete.","Kan geen antwoord vinden om te verwijderen"
"Visible In","Zichtbaar in"
"Vote","Stem"
"Votes Count","Aantal stemmen"
"Votes Count:","Aantal stemmen:"
