"Account login","Account-login"
"Account password","Account-wachtwoord"
"Active","Actief"
"Add Attribute Mapping","Attribuut-toewijzing toevoegen"
"Add New Attribute","Nieuw attribuut toevoegen"
"Add to Google Base","Toevoegen aan Google Base"
"Are you sure?","Weet u het zeker?"
"Attribute","Attribuut"
"Attribute Set","Attributenset"
"Attribute Set and Item Type","Attributen-set en artikeltype"
"Attributes","Attributen"
"Attributes Set","Attributen-set"
"Attributes mapping","Attributen toewijzen"
"AuthSub","AuthSub"
"Available Products","Beschikbare producten"
"British Pound Sterling","British Pound Sterling"
"Cannot update Google Base Item for Store '%s'","Cannot update Google Base Item for Store '%s'"
"Captcha confirmation error: %s","Fout bij bevestiging captcha: %s"
"Captcha confirmed successfully","Captcha met succes bevestigd"
"Clicks","Clicks"
"ClientLogin","Klant-login"
"Confirm","Bevestigen"
"Current Mapping will be reloaded. Continue?","Huidige toewijzing wordt opnieuw geladen. Doorgaan?"
"Custom attribute, no mapping","Toegevoegd attribuut, geen toewijzing"
"Default Store (%s)","Standaard-winkel (%s)"
"Delete","Verwijder"
"Delete Mapping","Toewijzing verwijderen"
"Edit Item Type","Artikeltype bewerken"
"Edit Item Type ""%s""","Artikeltype ""%s"" bewerken"
"Error: %s","Fout: %s"
"Euro","Euro"
"Expires","Verloopt"
"Germany","Duitsland"
"Google Base","Google Base"
"Google Base Attribute","Google basis-attribuut"
"Google Base ID","Google basis-ID"
"Google Base Item Type","Google basis-artikeltype"
"Google Base Item type","Google basis-artikeltype"
"Google Base Items","Google Base Items"
"Hide","Verbergen"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Ongelding productmodel voor Google basisartikel"
"Item Type was deleted","Artikeltype is verwijderd"
"Item Types","Artikeltypes"
"Item model is not specified to delete Google Base entry","Er is geen artikelmodel gespecificeerd om het Google Base-record te verwijderen"
"Item type was successfully saved","Artikeltype is met succes opgeslagen"
"Items","Artikelen"
"Manage Attribute Mapping","Beheer attribuuttoewijzing"
"Manage Attributes","Beheer attributen"
"Manage Items","Beheer artikelen"
"New Item Type","Nieuw artikeltype"
"No","Nee"
"No items were deleted from Google Base","Er zijn geen artikelen verwijderd uit Google Base"
"No items were published","Er zijn geen artikelen gepubliceerd"
"No items were saved as Inactive items","Er zijn geen artikelen op geslagen als ""inactief"""
"No products were added to Google Base","Er zijn geen producten toegevoegd aan Google Base"
"Object model is not specified to save Google Base entry","Er is geen object-model gespecificeerd om Google Base-record op te slaan"
"Page views","Pageviews"
"Please, select Attribute Set and Google Item Type to load attributes","Selecteer attributen-set en Google artikeltype om attributen te laden"
"Product Name","Productnaam"
"Publish","Publiceren"
"Published","Gepubliceerd"
"Remove","Verwijderen"
"Save Mapping","Toewijzing opslaan"
"Synchronize","Synchroniseren"
"Target Country","Doel-land"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Deze procedure zal de artikelstatistieken updaten en de artikelen verwijderen die niet beschikbaar zijn in Google Base. Doorgaan?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","In totaal zijn %d artikelen met succes verwijderd. Een totaal van %d artikelen is met succes ge&uuml;pdate."
"Total of %d items(s) were successfully published","In totaal zijn %d artikelen met succes gepubliceerd"
"Total of %d items(s) were successfully removed from Google Base","Een totaal van %d artikelen is met succes verwijderd uit Google Base."
"Total of %d items(s) were successfully saved as Inactive items","In totaal zijn %d artikelen opgeslagen als Inactief"
"Total of %d product(s) were successfully added to Google Base","In totaal zijn er %d artikelen toegevoegd aan Google Base"
"US Dollar","US Dollar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Kan niet verbinden met Google Base. Controleer uw account-instellingen in de configuratie."
"United Kingdom","Verenigd Koninkrijk"
"United States","Verenigde Staten"
"Update Google Base item when product is updated","Google Base-artikelen updaten als product wordt ge&uuml;pdate"
"View Available Products","Beschikbare producten bekijken"
"View Item in Google Base","Artikel in Google Base bekijken"
"Yes","Ja"
