"Alert Email Sender","Afzender e-mail met melding"
"Alert subscription was deleted successfully","U zult geen meldingen meer ontvangen"
"Alert subscription was saved successfully","Uw opgave voor meldingen is opgeslagen"
"Allow alert when product comes back in stock","Melding toestaan als product weer in voorraad is"
"Allow alert when product price changes","Melding toestaan bij prijswijziging"
"Click here not to receive alerts for this product","Klik hier om geen meldingen meer te ontvangen over dit product"
"Error Email Recipient","Fout e-mail ontvanger"
"Error Email Sender","Fout e-mail afzender"
"Error Email Template","Fout e-mail template"
"Frequency","Frequentie"
"Not enough parameters","Niet genoeg parameters"
"Please try again later","Probeer het later opnieuw a.u.b."
"Price alert Email Template","Template e-mail met prijsmelding"
"Price:","Prijs:"
"Product Alerts","Product-waarschuwingen"
"Product Alerts Run Settings","Instellingen productmeldingen"
"Product alerts Cron error","Cron-fout productmeldingen"
"Product not found","Product niet gevonden"
"Product price alert","Prijsmelding"
"Product stock alert","Voorraadmelding"
"Sign up for price alert","Opgeven voor prijsmeldingen"
"Sign up to get notified when this product is back in stock","Opgeven voor een melding wanneer dit product weer in voorraad is"
"Special price:","Speciale prijs"
"Start Time","Starttijd"
"Stock alert Email Template","Template e-mail met voorraadmelding"
"Unsubscribe from all price alerts","Opzeggen van alle prijsmeldingen"
"Unsubscribe from all stock alerts","Opzeggen van alle voorraadmeldingen"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","U ontvangt dit bericht omdat u zich hebt opgegeven voor meldingen wanneer de volgende producten weer in voorraad zijn:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","U krijgt dit bericht omdat u zich hebt opgegeven voor meldingen wanneer de prijzen van de volgende producten zijn gewijzigd:"
"You will no longer receive price alerts for this product","U zult geen prijsmeldingen meer ontvangen van dit product"
"You will no longer receive stock alerts","U zult geen voorraadmeldingen meer ontvangen"
"You will no longer receive stock alerts for this product","U zult geen voorraadmeldingen meer ontbangen van dit product"
