"Add New Row","Nieuwe rij toevoegen"
"An error occurred while saving the file(s).","Er is een fout opgetreden bij het opslaan."
"Availability: In stock.","Beschikbaarheid:  In voorraad"
"Availability: Out of stock.","Beschikbaarheid:  Niet in voorraad."
"Back","Terug"
"Can't connect to remote host, error: %s","Kan geen verbinding maken met remote host, error: %s"
"Canceled","Geannuleerd"
"Date","Datum"
"Default Link Title","Standaard-linktitel"
"Default Maximum Number of Downloads","Standaard-maximum voor aantal downloads"
"Default Sample Title","Standaard-titel van demo"
"Disable Guest Checkout if cart contains downloadable items","""Niet-ingelogd afrekenen"" uitschakelen als het winkelwagentje download-producten bevat."
"Downloadable Information","Downloads"
"Downloadable Product","Download-product"
"Downloadable Product Options","Opties download-product"
"Downloadable product Section","Sectie Download-product"
"Excl. Tax","Excl. BTW"
"File","Bestand"
"File does not exists","Bestand bestaat niet"
"From:","Van:"
"Gift Message","Bericht bij cadeau"
"Go to <a href=""%s"">My Downloadable Products</a>","Ga naar <a href=""%s"">Mijn download-producten</a>"
"Guest checkout will only work with shareable","""Niet-ingelogd afrekenen"" werkt alleen met deelbare"
"Incl. Tax","Incl. BTW"
"Invalid download URL host","Ongeldige host download-URL"
"Invalid download URL scheme","Ongeldig scheme download-URL"
"Invalid download link type","Ongeldig download-linktype"
"Invoiced","Gefactureerd"
"Link has expired.","Link is verlopen."
"Link is not available.","Link is niet beschikbaar."
"Links can be purchased separately","Links kunnen afzonderlijk worden gekocht"
"Max. Downloads","Max. downloads"
"Message:","Bericht:"
"My Downloadable Products","Mijn Download-producten"
"Open Links in New Window","Links openen in nieuw venster"
"Order #","Bestelnummer"
"Order Item Status to enable Downloads","Artikelstatus om downloads in te schakelen"
"Ordered","Besteld"
"Pending","Wachtende"
"Please log in to download your product.","Log in a.u.b. om uw product te downloaden."
"Please set resource file and link type","Resource-file en linktype instellen a.u.b."
"Please specify product link(s).","Specificeer productlink(s) a.u.b."
"Price","Prijs"
"Refunded","Terugbetaald"
"Remaining Downloads","Resterende downloads"
"Remove item","Artikel verwijderen"
"Requested link doesn't exist.","Opgevraagde link bestaat niet."
"Sample","Demo"
"Shareable","Deelbaar"
"Shipped","Verzonden"
"Sorry, the was an error getting requested content. Please contact store owner.","Excuses. Er is een fout opgetreden bij het verzamelen van de opgevraagde content. Neem contact met ons a.u.b."
"Sorry, there was an error getting requested content","Sorry, er is een fout opgetreden bij het ophalen van de gevraagde informatie."
"Sorry, there was an error getting requested content. Please contact store owner.","Excuses. Er is een fout opgetreden bij het verzamelen van de opgevraagde content. Neem contact met ons a.u.b."
"Sort Order","Sorteervolgorde"
"Start Download","Start het downloaden"
"Status","Status"
"Title","Titel"
"To:","Tot:"
"U","U"
"Unlimited","Onbeperkt"
"View Order","Bestelling bekijken"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
"attachment","bijlage"
"download","download"
"inline","inline"
"sample","demo"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
