"-- Please Select --","-- Selecteer a.u.b. --"
"Account Registration","Account-registratie"
"All fields of script types have to be filled.","Alle velden van scripttypes moet zijn gevuld"
"Attributes","Attributen"
"Category View Optimization","Optimalisatie categorieweergave"
"Control Script","Control-script"
"Conversion Page","Conversiepagina"
"Conversion Page URL","URL conversiepagina"
"Conversion Script","Conversiescript"
"Enable","Inschakelen"
"Google Optimizer Scripts","Google Optimizer-scripts"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Scripts installeren"
"Limit is 8 attributes only.","Maximaal 8 attributen."
"Multi Address Checkout","Afrekenen met meer adressen"
"One Page Checkout","Afrekenen op 1 pagina"
"Order Success (Multi Address Checkout)","Ordersucces (afrekenen met meer adressen)"
"Order Success (One Page Checkout)","Ordersucces (afrekenen op 1 pagina)"
"Original Page","Oorspronkelijke pagina"
"Other","Andere"
"Page Type","Paginatype"
"Page View Optimization","Optimalisatie paginaweergave"
"Please copy and paste this value to experiment edit form","Kopieer en plak deze waarde om het formulier te testen"
"Please select store view to see the URL","Selecteer het winkelzicht om de URL te zien"
"Product View Optimization","Optimalisatie productweergave"
"Scripts Install URL","URL scripts installeren"
"Shopping Cart","Winkelwagen"
"Tracking Script","Tracking-script"
"Use Default","Gebruik standaard"
"Use Default Values","Gebruik standaard-waarde"
"Variant Page","Wisselende pagina"
