"Action","Actie"
"Add Sitemap","Sitemap toevoegen"
"Always","Altijd"
"CMS Pages Options","Opties CMS-pagina’s"
"Categories Options","Opties categorie&euml;n"
"Daily","Dagelijks"
"Edit Sitemap","Sitemap bewerken"
"Enabled","Ingeschakeld"
"Error Email Recipient","Fout e-mail ontvanger"
"Error Email Sender","Fout e-mail afzender"
"Error Email Template","Fout e-mail template"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Bestand ""%s"" kan niet worden opgeslagen. Zorg ervoor dat de webserver schrijfrechten heeft op de map ""%s""."
"Filename","Bestandsnaam"
"Frequency","Frequentie"
"Generate","Genereren"
"Generation Settings","Instellingen voor genereren"
"Google Sitemap","Google sitemap"
"Google Sitemap Section","Sectie Google Sitemap"
"Hourly","Elk uur"
"ID","ID"
"Last Time Generated","Laatste keer gegenereerd"
"Link for Google","Link voor Google"
"Monthly","Maandelijks"
"Never","Nooit"
"New Sitemap","Nieuwe sitemap"
"Path","Pad:"
"Please create the specified folder ""%s"" before saving the sitemap.","Maak a.u.b. eerst de map ""%s"" aan voordat u de sitemap opslaat."
"Please define correct path","Definieer correct pad"
"Please make sure that ""%s"" is writable by web-server.","Controleer a.u.b. of de webserver schrijfrechten heeft op ""%s"""
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Gebruik alleen letters (a-z en A-Z), cijfers (0-9) of underscores (_) in de bestandsnaam. Spaties en andere tekens zijn niet toegestaan."
"Priority","Prioriteit"
"Priority must be between 0 and 1","Geef prioriteit op tussen 0 en 1"
"Products Options","Opties producten"
"Sitemap","Sitemap"
"Sitemap ""%s"" has been successfully generated","Sitemap ""%s"" is gegenereerd."
"Sitemap generate Warnings","Sitemap genereert waarschuwingen"
"Sitemap was successfully deleted","Sitemap is verwijderd"
"Sitemap was successfully saved","Sitemap is opgeslagen"
"Start Time","Starttijd"
"Store View","Winkelzicht"
"This sitemap no longer exists","Deze sitemap bestaat niet meer"
"Unable to find a sitemap to delete","Kan geen sitemap vinden om te verwijderen"
"Unable to find a sitemap to generate","Kan geen sitemap vinden om te genereren."
"Unable to generate a sitemap","Kan geen sitemap genereren"
"Valid values range from 0.0 to 1.0","Geldige waarden liggen tussen 0.0 en 1.0"
"Weekly","Wekelijks"
"Yearly","Jaarlijks"
