"%s already exist","%s bestaat al"
"%s already exists","%s bestaat al"
"-- Please Select --","-- Selecteer a.u.b. --"
"Add Block Names to Hints","Bloknamen aan Hints toevoegen"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Winkelcode aan URL's toevoegen"
"Admin","Beheerder"
"Admin Base URL","Admin basis-URL"
"Admin User Emails","Admin gebruikers-emails"
"Advanced","Geavanceerd"
"Allow countries","Landen toestaan"
"Allowed IPs (comma separated)","Toegestane IP's (door komma's gescheiden)"
"Are you sure?","Weet u het zeker?"
"Back","Terug"
"Backup options","Backup-opties"
"Base JavaScript URL","Basis JavaScript-URL"
"Base Link URL","Basis link-URL"
"Base Media URL","Basis media-URL"
"Base Skin URL","Basis skin-URL"
"Base URL","Basis-URL"
"Before modifying the store view code please make sure that it is not used in index.php","Controleer voordat u het winkelzicht aanpast, of het niet gebruikt wordt in index.php"
"Before modifying the website code please make sure that it is not used in index.php","Controleer voordat u de websitecode aanpast, of deze niet wordt gebruikt in index.php"
"Block with name ""%s"" already exists","Blok met naam ""%s"" bestaat al"
"Blocks HTML output","HTML-output van blokken"
"Can't retrieve request object","Kan verzoekobject niet ophalen"
"Can't retrieve entity config: %s","Kan entity-config niet ophalen: %s"
"Cancel","Annuleren"
"Cannot Delete Email Template","Kan e-mail template niet verwijderen"
"Cannot complete this operation from non-admin area.","Kan deze actie niet voltooien vanuit een niet-admin gebied"
"Category object is required for determining product request path","Categorie-object is vereist om opvraagpad van een product te bepalen"
"Code","Code"
"Collections Data","Verzamelingsgegevens"
"Configuration","Configuratie"
"Controller file was loaded but class does not exist","Controller-bestand is geladen, maar de class bestaat niet"
"Cookie Domain","Cookie Domein"
"Cookie Lifetime","Cookie levensduur"
"Cookie Path","Cookie Pad"
"Copyright","Auteursrecht"
"Countries options","Landenopties"
"Create Store","Winkel aanmaken"
"Create Store View","Winkelzicht aanmaken"
"Create Website","Website aanmaken"
"Current package name","Huidige pakketnaam"
"Custom Design","Eigen ontwerp"
