"Actions","Acties"
"Active","Actief"
"Add New Rule","Nieuwe regel toevoegen"
"Apply","Toepassen"
"Apply the rule only if the following conditions are met (leave blank for all products)","Pas de regel alleen toe als aan de volgende voorwaarden wordt voldaan (laat leeg voor alle producten)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Pas de regel alleen toe op artikelen uit winkelwagen die voldoen aan de volgende criteria (laat leeg voor alle artikelen)"
"Apply the rule to cart items matching the following conditions","Pas regel toe op artikelen uit winkelwagen die aan de volgende voorwaarden voldoen"
"Apply to","Toepassen op"
"Buy X get Y free (discount amount is Y)","Koop X en krijg Y gratis (kortingsbedrag is Y)"
"By Fixed Amount","Met vast bedrag"
"By Fixed value","Met vast bedrag"
"By Percentage","Met percentage"
"By Percentage of the original price","Met percentage van de oorspronkelijke prijs"
"Cart Attribute","Winkelwagen-attribuut"
"Catalog","Catalogus"
"Conditions","Voorwaarden"
"Conditions combination","Combinatie van voorwaarden"
"Coupon Code","Kortingscode"
"Coupon code","Kortingscode"
"Customer Groups","Klantengroepen"
"Customer is new buyer: %s","Klant is nieuwe koper: %s"
"Customer registered: %s","Klant geregistreerd: %s"
"Date Expire","Verloopdatum"
"Date Start","Begindatum"
"Delete Rule","Regel verwijderen"
"Description","Beschrijving"
"Description: %s","Omschrijving: %s"
"Discount Qty Step (Buy X)","Kortingstaffel, aantal (koop X)"
"Discount amount","Kortingsbedrag"
"Edit Rule","Regel bewerken"
"Edit Rule '%s'","Regel ‘%s’ bewerken"
"Expire at: %s","Verloopt op: %s"
"Fixed amount discount","Vast kortingsbedrag"
"Fixed amount discount for whole cart","Vaste kortingbedrag voor hele winkelwagen"
"For matching items only","Alleen voor betreffende artikelen"
"For shipment with matching items","Voor een zending met betreffende artikelen"
"Free shipping","Gratis verzending"
"From Date","Vanaf datum"
"General Information","Algemene Informatie"
"ID","ID"
"Inactive","Inactief"
"Maximum Qty Discount is Applied to","Maximale kwantumkorting wordt toegepast op"
"NOT LOGGED IN","NIET INGELOGD"
"Name: %s","Naam: %s"
"New Rule","Nieuwe regel"
"No","Nee"
"Payment Method","Betaalwijze"
"Percent of product price discount","Korting (percentage van productprijs)"
"Price in cart","Prijs in winkelwagen"
"Priority","Prioriteit"
"Product attribute combination","Combinatie van productattributen"
"Products subselection","Subselectie producten"
"Promotions","Promoties"
"Public In RSS Feed","Publiceren in RSS-feed"
"Quantity in cart","Aantal in winkelwagen"
"Row total in cart","Rij-totaal in winkelwagen"
"Rule Information","Regelgegevens"
"Rule Name","Regelnaam"
"Rule was successfully deleted","Regel is mdg succes verwijderd"
"Rule was successfully saved","Regel is met succes opgeslagen"
"Save Rule","Regel opslaan"
"Shipping Country","Land afleveradres"
"Shipping Method","Verzendwijze"
"Shipping Postcode","Postcode afleveradres"
"Shipping Region","Regio afleveradres"
"Shipping State/Province","Provincie afleveradres"
"Shopping Cart Price Rule","Prijsregel winkelwagen"
"Shopping Cart Price Rules","Winkelwagen prijsregels"
"Special price","Speciale prijs"
"Start at: %s","Begin op: %s"
"Status","Status"
"Stop further rules processing","Stop met verder uitvoeren van regels"
"Subtotal","Subtotaal"
"The page you are trying to save no longer exists","De pagina die u probeert op te slaan bestaat niet meer"
"This rule no longer exists","Deze regel bestaat niet meer"
"To Date","Tot datum"
"To Fixed Amount","Tot vast bedrag"
"To Fixed Value","Tot vast bedrag"
"To Percentage","Naar percentage"
"To Percentage of the original price","Tot percentage van de oorspronkeljke prijs"
"Total Items Quantity","Totale aantal artikelen"
"Total Weight","Totale gewicht"
"Unable to find a page to delete","Kan geen pagina vinden om te verwijderen"
"Update prices using the following information","Prijzen updaten door de volgende gegevens te gebruiken"
"Update product's %s %s: %s","Producten %s %s: %s updaten"
"Update the Product","Het product updaten"
"Uses per coupon","Gebruikt per kortingsbon"
"Uses per customer","Gebruikt per klant"
"Yes","Ja"
