"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s წარმატებით დაემატა თქვენი სურვილების სიას. ვაჭრობის გასაგრძელებლად <a href=""%2$s"">დააჭირეთ აქ</a>"
"%s's Wishlist","%s-ს სურვილები"
"* Required Fields","* აუცილებელი ველები"
"Add All to Cart","ყველას კალათაში ჩადება"
"Add to Cart","კალათაში ჩადება"
"Add to Wishlist","სურვილებში დამატება"
"Added On","დამატებულია"
"Are You sure?","დარწმუნებული ბრძანდებით?"
"Are you sure you want to remove this product from your wishlist?","ნამდვილად გნებავთ ამ პროდუქტის სურვილების სიიდან ამოშლა?"
"Are you sure you would like to remove this item from the wishlist?","ნამდვილად გნებავთ ამ ჩანაწერის სურვილების სიიდან ამოშლა?"
"Back","უკან"
"Can't save description %s","Can't save description %s"
"Cannot create wishlist","Cannot create wishlist"
"Cannot specify product","Cannot specify product"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Check this checkbox if you want to add a link to an rss feed to your wishlist."
"Comment","კომენტარი"
"Email Sender","ელ.ფოსტის გამგზავნი"
"Email Template","Email Template"
"Email address can't be empty.","Email address can't be empty."
"Email addresses, separated by commas","ელექტრონული ფოსტის მისამართები, გამოყოფილი მძიმით."
"Enabled","Enabled"
"General Options","General Options"
"Go to Wishlist","სურვილების ნახვა"
"Last Added Items","ბოლოს დამატებულები"
"Message","შეტყობინება"
"My Wishlist","სურვილები"
"My Wishlist (%d item)","სურვილები (%d ჩანაწერი)"
"My Wishlist (%d items)","სურვილები (%d ჩანაწერი)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","გთხოვთ მიუთითოთ მოქმედი ელექტრონული ფოსტის მისამართები, გამოყოფილი მძიმით. მაგალითად dimitri@domain.com, soso@domain.com"
"Please, enter your comments...","გთხოვთ, მიუთითეთ თქვენი კომენტარი..."
"Product","პროდუქტი"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link to %s's wishlist"
"Remove Item","წაშლა"
"Share Wishlist","სურვილების გაზიარება"
"Share Your Wishlist","სურვილების გაზიარება"
"Share options","გაზიარების პარამეტრები"
"Sharing Information","ინფორმაცია გაზიარებისათვის"
"There was an error while adding item to wishlist.","There was an error while adding item to wishlist."
"There was an error while adding item to wishlist: %s","There was an error while adding item to wishlist: %s"
"There was an error while deleting item from wishlist.","There was an error while deleting item from wishlist."
"There was an error while deleting item from wishlist: %s","There was an error while deleting item from wishlist: %s"
"This product(s) is currently out of stock:","This product(s) is currently out of stock:"
"Update Wishlist","სურვილების სიის განახლება"
"View Product","პროდუტის ნახვა"
"Wishlist","სურვილები"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Wishlist Sharing"
"Wishlist is empty now.","სურვილების სია ამჟამად ცარიელია."
"You have no items in your wishlist.","სურვილების სია ცარიელია."
"You input not valid email address.","You input not valid email address."
"Your Wishlist was successfully shared","თქვენი სურვილები წარმატებით გაზიარდა"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","ჩემი სურვილები - <a href=""%s"">%d ჩანაწერი</a>"
"My Wishlist","სურვილები"
"Are you sure you want to remove this product from your wishlist?","ნამდვილად გნებავთ ამ პროდუქტის სურვილების სიიდან ამოშლა?"
"Please, enter your comments...","გთხოვთ, მიუთითეთ თქვენი კომენტარი..."
