"--Please Select--","--გთხოვთ აირჩიოთ--"
"<label>Make Check payable to:</label> %s","<label>Make Check payable to:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Make Check payable to</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Can not retrieve payment info model object.","Can not retrieve payment info model object."
"Can not retrieve payment method instance","Can not retrieve payment method instance"
"Can not retrieve payment method model object.","Can not retrieve payment method model object."
"Card Verification Number","ბარათის ვერიფიკაციის ნომერი"
"Check / Money order","ნაღდი ანგარიშსწორება"
"Credit Card Number","საკრედიტო ბარათის ნომერი"
"Credit Card Number: %s","საკრედიტო ბარათის ნომერი: %s"
"Credit Card Number: xxxx-%s","საკრედიტო ბარათის ნომერი: xxxx-%s"
"Credit Card Type","საკრედიტო ბარათის ტიპი"
"Credit Card Type: %s","საკრედიტო ბარათის ტიპი: %s"
"Credit Card Types","საკრედიტო ბარათის ტიპები"
"Credit Card Verification","საკრედიტო ბარათის გადამოწმება"
"Enabled","Enabled"
"Expiration Date","მოქმედების ვადა"
"Expiration Date: %s/%s","მოქმედების ვადა: %s/%s"
"Make Check payable to","Make Check payable to"
"Make Check payable to: %s","Make Check payable to: %s"
"Maximum Order Total","Maximum Order Total"
"Minimum Order Total","Minimum Order Total"
"Month","თვე"
"Name on Card","სახელი ბარათზე"
"Name on the Card: %s","Name on the Card: %s"
"New order status","New order status"
"Payment Methods","Payment Methods"
"Payment Methods Section","Payment Methods Section"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Purchase Order Number","Purchase Order Number"
"Purchase Order Number: %s","Purchase Order Number: %s"
"Purchase order","Purchase order"
"Saved CC","Saved CC"
"Send Check to","Send Check to"
"Send Check to:","Send Check to:"
"Sort order","Sort order"
"Title","Title"
"What is this?","რა არის?"
"Year","წელი"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
