"# of Uses","# of Uses"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Action"
"Actions","Actions"
"Add New Tag","Add New Tag"
"Add Tags","ტაგების დამატება"
"Add Your Tags:","დაამატეთ თქვენი ტაგები:"
"Add to Cart","Add to Cart"
"Add to Wishlist","სურვილებში დამატება"
"All Tags","ყველა ტაგი"
"Approved","Approved"
"Are you sure that you want to delete this tag?","Are you sure that you want to delete this tag?"
"Are you sure you want to delete this tag?","Are you sure you want to delete this tag?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Back","Back"
"Back to Tags List","ტაგების ჩამონათვალზე დაბრუნება"
"Back to view Tag","Back to view Tag"
"Block Information","Block Information"
"CSV","CSV"
"Change status","Change status"
"Click on a tag to view your corresponding products.","დააჭირეთ ტაგს შესაბამისი პროდუქციის სანახავად."
"Country","ქვეყანა"
"Customer Since","Customer Since"
"Customers","Customers"
"Customers Tagged '%s'","Customers Tagged '%s'"
"Delete","Delete"
"Delete Tag","Delete Tag"
"Disabled","Disabled"
"Edit Tag","Edit Tag"
"Edit Tag '%s'","Edit Tag '%s'"
"Email","ელ.ფოსტა"
"First Name","სახელი"
"General Information","General Information"
"Grid","Grid"
"ID","ID"
"Last Name","გვარი"
"List","List"
"My Recent Tags","ჩემი ბოლო ტაგები"
"My Tags","ჩემი ტაგები"
"Name","დასახელება"
"New Tag","New Tag"
"No matches found.","No matches found."
"Other people marked this product with these tags:","სხვა მომხმარებელთა ტაგები:"
"Pending","მოლოდინში"
"Pending Tags","Pending Tags"
"Popular","პოპულარული"
"Popular Tags","პოპულარული ტაგები"
"Popularity","პოპულარობა"
"Price","ფასი"
"Product Name","პროდუქტის დასახელება"
"Product SKU","Product SKU"
"Product Tags","პროდუქტის ტაგები"
"Products","Products"
"Products Tagged with '%s'","Products Tagged with '%s'"
"Products tagged with '%s'","Products tagged with '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Products tagged with '%s' (<a href='%s'>RSS</a>)"
"SKU","პროდუქციის კოდი"
"Save Tag","ტაგის შენახვა"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Search Results for '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","სტატუსი"
"Tag","Tag"
"Tag ""%s"" has already been added to the product","ტაგი ""%s"" უკვე დაემატა მიმდინარე პროდუქტს"
"Tag Information","Tag Information"
"Tag Name","ტაგის დასახელება"
"Tag Name: %s","ტაგის დასახელება: %s"
"Tag can't be empty.","Tag can't be empty."
"Tagged in","Tagged in"
"Tags","Tags"
"Tags Aren't Available","Tags Aren't Available"
"Tags:","ტაგები:"
"Telephone","ტელეფონი"
"Thank you. Your tag has been accepted for moderation.","Thank you. Your tag has been accepted for moderation."
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store"
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
"Unable to save tag(s)","Unable to save tag(s)"
"Unable to save your tag. Please, try again later.","Unable to save your tag. Please, try again later."
"Use spaces to separate tags. Use single quotes (') for phrases.","ტაგები შორისით (space) გამოყავით. ფრაზების დასამატებლად ერთმაგი ბრჭყალები (') გამოიყენეთ."
"Uses","Uses"
"View All","ყველას ნახვა"
"View All Tags","ყველა ტაგის ნახვა"
"View Customers","მომხმარებლების ნახვა"
"View Products","პროდუქტების ნახვა"
"Visible In","Visible In"
"XML","XML"
"You have not tagged any products yet.","ჯერ არცერთი პროდუქტი არ დაგიტაგავთ."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","საფოსტო ინდექსი"
"You have not tagged any products yet.","ჯერ არცერთი პროდუქტი არ დაგიტაგავთ."
