"%s was successfully added to your shopping cart.","%s წარმატებით დაემატა თქვენს სავაჭრო კალათას."
"&laquo; Back to Billing Information","&laquo; გადამხდელის ინფორმაციაზე დაბრუნება"
"&laquo; Back to Select Addresses","&laquo; მისამართების არჩევაზე დაბრუნება"
"&laquo; Back to Shopping Cart","&laquo; კალათაში დაბრუნება"
"* Required Fields","* Required Fields"
"Add New Address","ახალი მისამართის დამატება"
"Add New Condition","Add New Condition"
"Add to Cart","Add to Cart"
"Add to Compare","შესადარებლად დამატება"
"Add to Wishlist","სურვილებში დამატება"
"Address","მისამართი"
"Address %s of %s","მისამართი %s (სულ %s)"
"After adding a product redirect to shopping cart","პროდუქტის დამატების შემდეგ კალათაში გადასვლა"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","რეგისტრირებული ბრძანდებით?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","კუპონის გამოყენება"
"Are you sure you would like to remove this item from the shopping cart?","ნამდვილად გნებავთ ამ პროდუქტის კალათიდან ამოღება?"
"Back","Back"
"Back to Shipping Information","მიმღების ინფორმაციაზე დაბრუნება"
"Based on your selection, you may be interested in the following items:","თქვენი არჩავანიდან გამომდინარე შესაძლოა შემდეგი პროდუქციითაც დაინტერესდეთ:"
"Billing Address","გადამხდელის მისამართი"
"Billing Information","გადამხდელის ინფორმაცია"
"Billing Information - %s","გადამხდელის ინფორმაცია - %s"
"Can not add item to shopping cart","პროდუტის დამატება კალათაში შეუძლებელია"
"Can not apply coupon code.","Can not apply coupon code."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","კუპონის გაუქმება"
"Cannot remove item","Cannot remove item"
"Cannot update shopping cart","კალათის განახლება შეუძლებელია"
"Card Verification Number Visual Reference","ბარათის ვერიფიკაციის ნომრის მდებარეობა"
"Cart Subtotal:","კალათის ღირებულება:"
"Change","შეცვლა"
"Change Billing Address","გადამხდელის მისამართის შეცვლა"
"Checkbox text","Checkbox text"
"Checkout","შეკვეთა"
"Checkout Conditions","შეკვეთის პირობები"
"Checkout Options","შეკვეთის პარამეტრები"
"Checkout Section","შეკვეთის სექცია"
"Checkout Terms and Conditions","შეკვეთის შეთანხმება და პირობები"
"Checkout as Guest","შეუკვეთეთ სტუმრის სტატუსით"
"Checkout as a Guest or Register","შეუკვეთეთ სტუმრის სტატუსით ან დარეგისტრირდით"
"Checkout method","შეკვეთის მეთოდი"
"Checkout with Multiple Addresses","შეკვეთა რამოდენიმე მისამართზე"
"City","ქალაქი"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","მიღებული შეკვეთის ასლის დასაბეჭდად <a href=""%s"" onclick=""this.target='_blank'""> დააჭირეთ აქ</a>"
"Close","დახურვა"
"Company","კომპანია"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Configurable product image"
"Confirm Password","დაადასტურეთ პაროლი"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","გაგრძელება"
"Continue Shopping","ვაჭრობის გაგძელება"
"Continue to Billing Information","გაგრძელება &raquo; გადამხდელის ინფორმაცია"
"Continue to Review Your Order","გაგრძელება &raquo; შეკვეთის გადახედვა"
