"%s and greater","%s და მეტი"
"Advanced Search","გაფართოებული ძებნა"
"All","ყველა"
"Applies for ""Like"" Search type only","ეხება მხოლოდ ""Like""-ის საშუალებით ძებნას"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Autogenerated site map"
"Catalog Advanced Search","კატალოგის გაფართოებული ძებნა"
"Catalog Search","კატალოგის ძებნა"
"Don't see what you're looking for?","ვერ ნახეთ რასაც ეძებდით?"
"Go","გადასვლა"
"Go to Home Page","მთავარ გვერდზე გადასვლა"
"Grid","ცხრილი"
"Home","მთავარი"
"List","სია"
"Maximum Query Length","ძებნის სტრიქონის მაქსიმალური სიგრძე"
"Maximum Query Words Count","საძებნ სტრიქონში სიტყვების მაქსიმალური რაოდენობა"
"Maximum Search query  length is %s. Your query was cut.","ძებნის სტრიქონის მაქსიმალური სიგრძეა %s. ძებნის სტრიქონი მოჭრილია."
"Minimal Query Length","ძებნის სტრიქონის მინიმალური სიგრძე"
"Modify your search","ძებნის პარამეტრების შეცვლა"
"No","არა"
"No items were found using the following search criteria.","ვერაფერი მოიძებნა მიმდინარე ძებნის პარამეტრებით."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","პოპულარული საძიებო ტერმინები"
"Popular search terms","პოპულარული საძიებო ტერმინები"
"Relevance","შესაბამისობა"
"Required Fields","აუცილებელი ველები"
"Results","შედეგები"
"Search","ძებნა"
"Search Settings","ძებნის პარამეტრები"
"Search Site","ძებნა საიტზე"
"Search Terms","საძიებო ტერმინები"
"Search Type","ძებნის ტიპი"
"Search entire store here...","შეიყვანეთ საძიებო ტექსტი..."
"Search results for '%s'","'%s'-ის ძებნის შედეგები"
"Search results for: '%s'","ძებნის შედეგები: '%s'"
"Subscribe to Feed","სიახლეების გამოწერა"
"There are no search terms available.","საძიებო ტერმინები არ არის."
"Yes","დიახ"
"You have to specify at least one search term","უნდა მიუთითოთ ერთი საძიებო ტერმინი მაინც"
"Your search returns no results.","თქვენი ძებნა უშედეგოა."
"up to %s","%s-მდე"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d ჩანაწერი</strong> მოიძებნა მიმდინარე ძებნის პარამეტრების გამოყენებით"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","გაფართოებული ძებნა"
"Search Terms","საძიებო ტერმინები"
"Popular Search Terms","პოპულარული საძიებო ტერმინები"
"There are no search terms available.","საძიებო ტერმინები არ არის."
