"* Required Fields","* Obligatoriske felt"
"A new password was sent","Et nytt passord ble sendt"
"Account Dashboard","Kontooversikt"
"Account Information","Kontoinformasjon"
"Account Sharing Options","Alternativer for kontodeling"
"Account information was successfully saved","Kontoinformasjon ble lagret"
"Action","Handling"
"Add New Address","Legg til ny adresse"
"Add New Customer","Legg til ny kunde"
"Add New Customer Group","Legg til ny kundegruppe"
"Added From","Lagt til fra"
"Additional Address Entries","Ekstra adresser"
"Address","Adresse"
"Address Book","Adressebok"
"Address Information","Adresseinformasjon"
"Addresses","Adresser"
"Admin","Administrator"
"All","Alle"
"All Store Views","Alle butikkvisninger"
"All countries","Alle land"
"Always optional","Alltid valgfri"
"Amount","Beløp"
"Approved","Godkjent"
"Are you sure that you want to remove this item?","Vil du fjerne denne varen?"
"Are you sure you want to cancel adding of this address?","Vil du avbryte opprettelsen av denne adressen?"
"Are you sure you want to delete this address?","Vil du slette denne adressen?"
"Are you sure?","Er du sikker?"
"Array of Entity collections is expected","Tabell med instanssamlinger forventet"
"Assign a customer group","Tilordne en kundegruppe"
"Average Sale","Gjennomsnittlig salg"
"Back","Tilbake"
"Back to Login","Tilbake til innlogging"
"Bad request.","Feil forespørsel."
"Bill to Name","Fakturèr til"
"Billing Information","Fakturainformasjon"
"Bought From","Kjøpt fra"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ved å opprette en konto hos oss vil du enklere kunne gjennomføre fremtidige kjøp, få oversikt over alle dine kjøp, osv."
"CSV","CSV-format"
"Can't save address","Kan ikke lagre adresse"
"Can't save customer","Kan ikke lagre kunde"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Kan ikke dele kundekontoer globalt pga noen kontoer med samme epost-adresse som finnes på flere Websites."
"Cancel","Avbryt"
"Change Account Password","Endre kontopassord"
"Change Billing Address","Endre fakturaadresse"
"Change Password","Endre passord"
"Change Shipping Address","Endre leveringsadresse"
"City","By"
"Company","Firma"
"Config","Innstilling"
"Confirm New Password","Bekreft nytt passord"
"Confirm Password","Bekreft passord"
"Confirmation Link Email","Bekreftelse på epost"
"Confirmed","Bekreftet"
"Contact Information","Kontaktinformasjon"
"Continue Shopping","Fortsett å handle"
"Country","Land"
"Create","Opprett"
"Create New Account Options","Alternativer for ny konto"
"Create New Customer Account","Opprett kundekonto"
"Create Order","Lag bestilling"
"Create an Account","Opprett ny konto"
"Create customer","Opprett kunde"
"Create customer address","Opprett kundeadresse"
"Current Password","Gjeldende passord"
"Customer","Kunde"
"Customer Addresses","Kundeadresse"
"Customer Api","Kunde API"
"Customer Configuration","Kundeoppsett"
"Customer Group","Kundegruppe"
"Customer Group was successfully deleted","Kundegruppen ble slettet"
"Customer Group was successfully saved","Kundegruppen ble lagret"
"Customer Groups","Kundegrupper"
"Customer Information","Kundeinformasjon"
"Customer Login","Kundeinnlogging"
"Customer Since","Kunde siden"
"Customer View","Kundevisning"
"Customer collection expected","Forventet kundeliste"
"Customer doesn't have primary billing address","Kunden har ikke ingen primær fakturaadresse"
"Customer email already exists","En annen kunde er registrert med denne epost-adressen"
"Customer website id must be specified, when using website scope.","Kunde Website ID må angis."
"Customers","Kunder"
"Customers Only","Bare kunder"
"Customers Section","Kundeseksjon"
"DD","Dag"
"Date","Dato"
"Date Added","Dato lagt til"
"Date of Birth","Fødselsdato"
"Date of Birth is required.","Fødselsdato er påkrevd."
"Day","Dag"
"Days in Wishlist","Antall dager i Ønskelisten"
"Default Addresses","Standardadresser"
"Default Billing Address","Standard fakturaadresse"
"Default Email Domain","Standard epost-domene"
"Default Group","Standardgruppe"
"Default Shipping Address","Standard leveringsadresse"
"Default Welcome Email","Standard Velkomst-epost"
"Delete","Slett"
"Delete Address","Slett adresse"
"Delete Customer","Slett kunde"
"Delete Customer Group","Slett kundegruppe"
"Delete customer","Slett kunde"
"Delete customer address","Slett kundeadresse"
"Deleted Stores","Slettede butikker"
"Details","Detaljer"
"Disabled","Deaktivert"
"Edit","Endre"
"Edit Account Info","Rediger kundeinfo"
"Edit Account Information","Rediger kontoinformasjon"
"Edit Address","Rediger adresse"
"Edit Address Entry","Rediger adresseoppføring"
"Edit Customer Group ""%s""","Rediger kundegruppe ""%s"""
"Edit Customer Groups","Rediger kundegrupper"
"Edit Customer's Address","Endre kundens adresse"
"Edit Group","Rediger gruppe"
"Edit Newsletter Subscription","Endre abonnement på nyhetsbrev"
"Edit Newsletters","Rediger nyhetsbrev"
"Edit Personal Information","Rediger personlig informasjon"
"Email","Epost"
"Email Address","Epost-adresse"
"Email Sender","Epost-avsender"
"Entity collection is expected","Instanssamling forventet"
"Error during retrieval of option value: %s","Feil under henting av valg-alternativer: %s"
"Ext. Price","Sluttsum"
"Failed to confirm customer account.","Bekreftelse av kundekonto feilet."
"Fax","Faks"
"First Name","Fornavn"
"First name can't be empty","Fornavn-feltet kan ikke være tomt"
"Forgot Email Sender","Avsender for ""Glemt passord""-epost"
"Forgot Email Template","Mal for ""Glemt passord""-epost"
"Forgot Your Password?","Glemt passordet ditt?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Se dine siste handlinger og kjøp fra ditt Kontopanel."
"General Subscription","Generelt abonnement"
"Global","Globalt"
"Go to Address Book","Gå til adressebok"
"Grand Total","Sluttsum"
"Grand Total: %s","Sluttsum: %s"
"Group","Gruppe"
