"# of Uses","Antall brukere"
"%s tag(s) have been accepted for moderation","%s tagg(er) er litt akseptert for moderasjon"
"Action","Handling"
"Actions","Handlinger"
"Add New Tag","Legg til ny tagg"
"Add Tags","Legg til tagger"
"Add Your Tags:","Legg til tagger:"
"Add to Cart","Legg i handlekurven"
"Add to Wishlist","Legg i ønskelisten"
"All Tags","Alle tagger"
"Approved","Godkjent"
"Are you sure that you want to delete this tag?","Er du sikker på at du vil slette taggen?"
"Are you sure you want to delete this tag?","Er du sikker på at du vil slette taggen?"
"Are you sure you want to do this?","Er du sikker?"
"Are you sure?","Er du sikker?"
"Back","Tilbake"
"Back to Tags List","Tilbake til listen over tagger"
"Back to view Tag","Tilbake til visning av taggen"
"Block Information","Blokkinformasjon"
"CSV","CSV-format"
"Change status","Endre status"
"Click on a tag to view your corresponding products.","Klikk på en tagg for å vise tilsvarende produkter"
"Country","Land"
"Customer Since","Kunde siden"
"Customers","Kunder"
"Customers Tagged '%s'","Kunder som har brukt taggen '%s'"
"Delete","Slett"
"Delete Tag","Slett taggen"
"Disabled","Deaktivert"
"Edit Tag","Endre tagg"
"Edit Tag '%s'","Endre tagg '%s'"
"Email","Epost"
"First Name","Fornavn"
"General Information","Generell informasjon"
"Grid","Rutenett"
"ID","ID"
"Last Name","Etternavn"
"List","Liste"
"My Recent Tags","Mine siste tagger"
"My Tags","Mine tagger"
"Name","Navn"
"New Tag","Ny tagg"
"No matches found.","Fant ingen treff."
"Other people marked this product with these tags:","Andre merket produktet med disse taggene:"
"Pending","Ventende"
"Pending Tags","Ventende tagger"
"Popular","Populære"
"Popular Tags","Populære tagger"
"Popularity","Popularitet"
"Price","Pris"
"Product Name","Produktnavn"
"Product SKU","Varekode"
"Product Tags","Produkttagger"
"Products","Produkter"
"Products Tagged with '%s'","Produkter tagget med '%s'"
"Products tagged with '%s'","Produkter tagget med '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produkter tagget med '%s' (<a href='%s'>RSS</a>)"""
"SKU","Varekode"
"Save Tag","Lagre tagg"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Søkeresultater for '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Status"
"Tag","Tagg"
"Tag ""%s"" has already been added to the product","Taggen ""%s"" er allerede lagt til dette produktet"
"Tag Information","Informasjon om tagg"
"Tag Name","Taggnavn"
"Tag Name: %s","Navn på tagg: %s"
"Tag can't be empty.","Taggen kan ikke være tom."
"Tagged in","Tagget i"
"Tags","Tagger"
"Tags Aren't Available","Tagger er ikke tilgjengelig"
"Tags:","Tagger:"
"Telephone","Telefon"
"Thank you. Your tag has been accepted for moderation.","Takk. Taggen er akseptert for moderering."
"Unable to find any products tagged with '%s' in the current store","Finner ingen produkter merket med '%s' i gjeldende butikk"
"Unable to remove tag. Please, try again later.","Kunne ikke slette tagg. Vennligst prøv igjen senere."
"Unable to save tag(s)","Kunne ikke lagre tagg(er)"
"Unable to save your tag. Please, try again later.","Kunne ikke lagre taggen din. Vennligst prøv igjen senere."
"Use spaces to separate tags. Use single quotes (') for phrases.","Bruk mellomrom for å skille tagger. Omgi setninger med apostrof (')."
"Uses","Anvendelser"
"View All","Vis alle"
"View All Tags","Vis alle tagger"
"View Customers","Vis kunder"
"View Products","Vis produkter"
"Visible In","Synlig i"
"XML","XML-format"
"You have not tagged any products yet.","Du har ikke tagget noen produkter ennå."
"Your tag was successfully deleted","Taggen ble slettet"
"Your tag was successfully saved","Taggen ble lagret"
"ZIP/Post Code","Postnummer"
"You have not tagged any products yet.","You have not tagged any products yet."
