"%s is not correct comparsion method.","%s er ikke gyldig sammenligningsmetode."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Merk</strong> at disse innstillingene er gjelder enkeltestående artikler, ikke hele handlekurven."
"Allow Qty Below 0","Tillat antall under 0"
"Allow Qty Below 0 and Notify Customer","Tillat antall under 0 og varsle kunde"
"Backorders","Restordrer"
"By Fixed value","Med fast beløp"
"By Percentage","Med prosent"
"Can not specify product identifier for order item","Kunne ikke spesifisere produktidentifikator for varen"
"Catalog Inventory","Lagerstatus"
"Decrease Stock When Order is Placed","Reduser lagerbeholdning ved kjøp"
"In Stock","På lager"
"Inventory","Lagerbeholdning"
"Inventory API","Lager API"
"Inventory Section","Lager"
"Manage Stock","Behandle lager"
"Maximum Qty Allowed in Shopping Cart","Største antall tillatt i handlekurven"
"Minimum Qty Allowed in Shopping Cart","Minste antall tillatt i handlekurven"
"No Backorders","Ingen restordre"
"Notify for Quantity Below","Varsle om lagerbeholdning er under"
"Out of Stock","Ikke på lager"
"Product Stock Options","Alternativer for lager"
"Qty for Items' Status to become Out of Stock","Antall før varen får status Ikke på lager"
"Retrieve stock data","Hent lagerdata"
"Retrieve stock data by product ids","Hent lagerdata basert på produkt ID"
"Rule price","Regelpris"
"Set Items' Status to be In Stock When Order is Cancelled","Flytt varen(e) tilbake på lager dersom ordren blir kansellert"
"Some of the products are currently out of stock","Et eller flere av produktene er ikke på lager"
"Some of the products can not be ordered in requested quantity","Et eller flere av produktene kan ikke kjøpes i angitt antall"
"Some of the products cannot be ordered in the requested quantity","Et eller flere av produktene kan ikke kjøpes i angitt antall"
"Stock Options","Lageralternativer"
"Stock item for Product in option is not valid","Lager for angitt produkt er ikke tillatt"
"Stock item for Product is not valid","Lager for angitt produkt er ikke tillatt"
"The maximum quantity allowed for purchase is %s.","Maks antall som kan bestilles: %s."
"The minimum quantity allowed for purchase is %s.","Minimum antall som kan bestilles: %s."
"The requested quantity for ""%s"" is not available.","""%s"" er dessverre ikke tilgjengelig i ønsket antall."
"The requested quantity is not available.","Ønsket antall er ikke tilgjengelig."
"This product is currently out of stock.","Dette produktet er ikke på lager for øyeblikket."
"To Fixed Value","Til fast verdi"
"To Percentage","Til prosent"
"Update","Oppdater"
"Update product stock data","Oppdater lagerdata"
"Update the Product","Oppdater produktet"
