"* Required Fields","* Obligatoriske felt"
"Add","Legg til"
"Add Gift Message","Legg til gavemelding"
"Allow Gift Messages for Order Items","Tillatt gavemelding per vare"
"Allow Gift Messages on Order Level","Tillat gavemeldinger på ordrenivå"
"Are you sure?","Er du sikker?"
"Cancel","Avbryt"
"Check this checkbox if you want to add gift messages to your items.","Kryss av her hvis du ønsker å legge til gavemeldinger for noen av varene."
"Check this checkbox if you want to add gift messages.","Kryss av her hvis du ønsker å legge til gavemeldinger."
"Close","Lukk"
"Do you have any gift items in your order?","Er noen av varene i bestillingen din gaver?"
"Edit","Endre"
"Edit Gift Message","Endre gavemelding"
"Enter a gift message for each item in your order.","Skriv inn en gavemelding for hver vare i bestillingen."
"Enter a gift message for entire order.","Skriv inn en gavemelding for hele ordren."
"Enter a gift message for this address.","Skriv inn en gavemelding for denne adressen."
"Error while saving gift message","Feil ved lagring av gavemelding"
"From","Fra"
"Gift Message","Gavemelding"
"Gift Messages","Gavemeldinger"
"Gift message has been successfully saved","Gavemeldingen ble lagret"
"Item %d of %d","Vare %d av %d"
"Message","Melding"
"No","Nei"
"Remove","Fjern"
"Save","Lagre"
"Save Gift Message","Lagre gavemelding"
"To","til"
"Unknown entity type","Ukjent instanstype"
"Use config","Bruk innstillinger"
"Yes","Ja"
"You can leave a box blank if you don't wish to add a gift message for the item.","La denne boksen stå tom dersom du ikke ønsker å legge til gavemelding."
"You can leave a box blank if you don't wish to add a gift message for this address.","La denne boksen stå tom dersom du ikke ønsker å legge til gavemelding."
"You can leave a box blank if you don't wish to add a gift message for whole order.","La denne boksen stå tom dersom du ikke ønsker å legge til gavemelding."
"Your gift message has been successfully removed","Gavemeldingen ble slettet"
"Your gift message has been successfully saved","Gavemeldingen ble lagret"
"Your gift message successfully removed","Gavemeldingen ble slettet"
"Your gift message successfully saved","Gavemeldingen ble lagret"
