"Actions","Handlinger"
"Add Answer","Legg til svaralternativ"
"Add New Answer","Legg til nytt svaralternativ"
"Add New Poll","Legg til ny avstemning"
"Answer Title","Svartekst"
"Answer Title:","Svartekst:"
"Answer was successfully saved","Svar ble lagret"
"Answer with the same title in this poll","Svar med samme tekst i denne avstemningen"
"Are you sure you want to delete it?","Er du sikker?"
"Assigned Answers","Tilhørende svaralternativer"
"Closed","Avsluttet"
"Community Poll","Community-avstemning"
"Date Closed","Dato avsluttet"
"Date Posted","Dato publisert"
"Delete","Slett"
"Delete Answer","Slett svaralternativ"
"Delete Poll","Slett avstemning"
"Disallow voting in a poll multiple times from same IP-address","Ikke tillatt å stemme fra samme IP flere ganger"
"Edit Answer '%s'","Endre svaralternativ '%s'"
"Edit Poll '%s'","Endre avstemning '%s'"
"Edit Poll Answer","Endre svaralternativ"
"ID","ID:"
"Invalid Answer","Ugyldig svaralternativ"
"New Poll","Ny avstemning"
"Number of Responses","Antall svar"
"Open","Åpen"
"Poll Answers","Svaralternativer"
"Poll Information","Informasjon om avstemning"
"Poll Manager","Avstemningsbehandling"
"Poll Question","Spørsmål i avstemning"
"Poll information","Informasjon om avstemning"
"Poll not exists","Avstemning eksisterer ikke"
"Poll with the same question","Avstemning med samme spørsmål"
"Save Answer","Lagre svaralternativ"
"Save Poll","Lagre avstemning"
"Status","Status:"
"Unable to find answer to delete.","Kunne ikke slette svaralternativ."
"Visible In","Synlig i"
"Vote","Stem"
"Votes Count","Antall stemmer"
"Votes Count:","Antall stemmer:"
