"-- Please select --","-- Vennligst velg --"
"Allowed currencies","Tillatte valutaer"
"Base currency","Base currency"
"Cannot retrieve rate from %s","Kunne ikke hente kurs fra %s"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","Fortsett &raquo;"
"Country","Land"
"Country Api","Country Api"
"Country and Format Type combination should be unique","Kombinasjonen Land og Formattype må være unik"
"Currency","Valuta"
"Currency Options","Alternativer for valuta"
"Currency Setup","Valutaoppsett"
"Currency Update Warnings","Advarsler for valutaoppdatering"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default display currency","Standard visningsvaluta"
"Directory","Directory"
"Enabled","Aktivert"
"Error Email Recipient","E-postmottaker for feil"
"Error Email Sender","E-postavsender for feil"
"Error Email Template","E-postmal for feil"
"FATAL ERROR:","KRITISK FEIL:"
"Frequency","Hyppighet"
"Installed Currencies","Intallerte valutaer"
"Invalid Import Service Specified","Ugyldig importeringstjeneste"
"Invalid country code: %s","Ugyldig landskode: %s"
"Invalid rates received","Ugyldige kurser mottatt"
"Invalid target currency","Ugyldig mål-valuta"
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","Import-innstillinger"
"Select Your Currency","Velg din valuta"
"Service","Tjeneste"
"Start Time","Starttidspunkt"
"State/Province","Poststed"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Ikke i stand til å starte importmodellen"
"Undefined rate from ""%s-%s""","Udefinert kurs fra ""%s-%s"""
"WARNING:","ADVARSEL:"
"Webservicex","Webservicex"
"Your current currency is: %s","Gjeldende valuta er: %s"
