"-- Please Select --","-- Vennligst velg --"
"Account Registration","Registrering"
"All fields of script types have to be filled.","Alle f elt må være fylt ut."
"Attributes","Attributer"
"Category View Optimization","Kategori-optimalisering"
"Control Script","Kontrollscript"
"Conversion Page","Conversion Side"
"Conversion Page URL","Conversion Side URL"
"Conversion Script","Conversion script"
"Enable","Aktiver"
"Google Optimizer Scripts","Google Optimizer Script"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Installer script"
"Limit is 8 attributes only.","Maks 8 attributer."
"Multi Address Checkout","Fler-adresse Checkout"
"One Page Checkout","Enkelside Checkout"
"Order Success (Multi Address Checkout)","Ordre godkjent (Multi Address Checkout)"
"Order Success (One Page Checkout)","Ordre godkjent (One Page Checkout)"
"Original Page","Orginal side"
"Other","Andre"
"Page Type","Sidetype"
"Page View Optimization","Side view Optimization"
"Please copy and paste this value to experiment edit form","Please copy and paste this value to experiment edit"
"Please select store view to see the URL","Please select store view to see the URL in"
"Product View Optimization","Product View Optimization"
"Scripts Install URL","Script Installasjon URL"
"Shopping Cart","Handlekurv"
"Tracking Script","Tracking Scripts"
"Use Default","Bruk standard"
"Use Default Values","Bruk standarverdier"
"Variant Page","Variant Side"
