"-- Please Select --","-- Please Select -- "
"Add New Class","增加新稅種"
"Add New Tax Rate","增加新稅率"
"Add New Tax Rule","增加新稅則"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","您確認要這麼做嗎？"
"Back","返回"
"CSV","CSV "
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","稅種名稱"
"Code","Code"
"Country","國家"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","國家"
"Custom price if available","Custom price if available"
"Customer Tax Class","客戶稅種"
"Customer Tax Class Information","客戶稅種信息"
"Customer Tax Classes","客戶稅種"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","刪除稅種"
"Delete Rate","刪除稅率"
"Delete Rule","刪除稅則"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","Display full tax summary"
"Edit Class","修改稅率"
"Edit Class '%s'","修改稅種'%s' "
"Edit Rule","修改稅則"
"Edit Tax Rate","修改稅率"
"Error while deleting this class. Please try again later.","刪除該稅種時出錯，請稍後重試。 "
"Error while deleting this rate. Incorrect rate ID","刪除該稅率時出錯，稅率編號不正確"
"Error while deleting this rate. Please try again later.","刪除該稅率時出錯，請稍後重試。 "
"Error while deleting this tax rule. Please try again later.","刪除該稅則時出錯，請稍後重試。 "
"Error while saving this rate. Please try again later.","保存該稅率時出錯，請稍後重試。 "
"Error while saving this tax class. Class with the same name ","保存該稅種時出錯，稅種名重複"
"Error while saving this tax class. Please try again later.","保存該稅種時出錯，請稍後重試。 "
"Error while saving this tax rule. Please try again later.","保存該稅則時出錯，請稍後重試。 "
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","不含稅"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","導出稅率"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","導入/導出稅率"
"Import Tax Rates","導入稅率"
"Inc. Tax","含稅"
"Incl. Tax","含稅"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","稅率數據不正確"
"Invalid data for tax rate calculation","稅率計算數據不正確"
"Invalid file format upload attempt","上傳文件格式不正確"
"Invalid file upload attempt","上傳文件不正確"
"Manage Customer Tax Classes","管理客戶稅種"
"Manage Product Tax Classes","管理商品稅種"
"Manage Tax Rates","管理稅率"
"Manage Tax Rules","管理稅則"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","新稅種"
"New Rule","新稅則"
"New Tax Rate","新稅率"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","請選擇國家"
"Please select County","請選擇國家"
"Please select State","請選擇省份"
"Priority","Priority"
"Product Tax Class","商品稅種"
"Product Tax Class Information","商品稅種信息"
"Product Tax Classes","商品稅種"
"Rate","Rate"
"Reset","重置"
"Sales","銷售"
"Save Class","保存稅種"
"Save Rate","保存稅率"
"Save Rule","保存規則"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"State","省份"
"State/Region","省份/地區"
"Tax","稅"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","稅率"
"Tax Rate Information","稅率信息"
"Tax Rule Information","稅則信息"
"Tax Rules","稅則"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","成功刪除稅種"
"Tax class was successfully saved","成功保存稅種"
"Tax rate was successfully deleted","成功刪除稅率"
"Tax rate was successfully imported","成功導入稅率"
"Tax rate was successfully saved","成功保存稅率"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","成功刪除稅則"
"Tax rule was successfully saved","成功保存稅則"
"This class no longer exists","該類已不存在"
"This rule no longer exists","該規則已不存在"
"XML","XML "
"You cannot delete this tax class as it is used for %d customer groups.","該稅種用於%d客戶組，不能刪除. "
"You cannot delete this tax class as it is used for %d products.","該稅種用於%d商品，不能刪除"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","該稅種用於稅則中，不能刪除，要先刪除使用它的稅則。 "
"Zip/Post Code","郵編"
