"%s and greater","%s及更大"
"Advanced Search","進階搜尋"
"All","所有"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","自動生成網站地圖"
"Catalog Advanced Search","分類高級搜索"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Go to Home Page","轉到頁面"
"Grid","格子"
"Home","首頁"
"List","列表"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Modify your search"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","熱門搜索關鍵詞"
"Popular search terms","熱門搜索關鍵詞"
"Relevance","Relevance"
"Required Fields","必填欄目"
"Results","結果"
"Search","搜索"
"Search Settings","搜索設置"
"Search Site","搜索網站"
"Search Terms","被搜尋的關鍵字"
"Search Type","Search Type"
"Search entire store here...","Search entire store here... "
"Search results for '%s'","%s'的搜索結果"
"Search results for: '%s'","搜索結果: '%s' "
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","沒有需要搜索的關鍵詞。 "
"Yes","Yes"
"You have to specify at least one search term","請輸入至少一個搜索關鍵詞"
"Your search returns no results.","沒有搜索到任何結果。 "
"up to %s","最多%s "
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","進階搜尋"
"Search Terms","被搜尋的關鍵字"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
