"Actions","操作"
"Active","激活"
"Add New Rule","增加新的規則"
"Apply","應用"
"Apply the rule only if the following conditions are met (leave blank for all products)","僅以下條件成立才應用規則(所有商品留空) "
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","僅應用規則到購物車中符合以下條件的商品(所有商品留空) "
"Apply the rule to cart items matching the following conditions","應用規則到購物車中符合以下條件的商品"
"Apply to","應用於"
"Buy X get Y free (discount amount is Y)","買X送Y(優惠金額為Y) "
"By Fixed Amount","固定金額"
"By Fixed value","固定價格"
"By Percentage","百分比"
"By Percentage of the original price","原價的百分比"
"Cart Attribute","購物車屬性"
"Catalog","目錄"
"Conditions","條件"
"Conditions combination","條件組合"
"Coupon Code","優惠券代碼"
"Coupon code","優惠券代碼"
"Customer Groups","客戶分組"
"Customer is new buyer: %s","新客戶：%s "
"Customer registered: %s","客戶已註冊：%s "
"Date Expire","有效期"
"Date Start","開始日期"
"Delete Rule","刪除規則"
"Description","說明"
"Description: %s","說明：%s "
"Discount Qty Step (Buy X)","優惠數量遞增(買X) "
"Discount amount","優惠金額"
"Edit Rule","修改規則"
"Edit Rule '%s'","修改規則'%s' "
"Expire at: %s","有效期：%s "
"Fixed amount discount","固定金額優惠"
"Fixed amount discount for whole cart","整個購物車固定金額優惠"
"For matching items only","僅用於匹配商品"
"For shipment with matching items","For shipment with matching items "
"Free shipping","Free shipping "
"From Date","開始日期"
"General Information","基本信息"
"ID","編號"
"Inactive","未激活"
"Maximum Qty Discount is Applied to","最大數量優惠應用於"
"NOT LOGGED IN","未登錄"
"Name: %s","姓名：%s "
"New Rule","新規則"
"No","否"
"Payment Method","支付方式"
"Percent of product price discount","商品價格優惠百分比"
"Price in cart","購物車中價格"
"Priority","優先級"
"Product attribute combination","商品屬性組合"
"Products subselection","Products subselection"
"Promotions","促銷"
"Public In RSS Feed","發布RSS Feed "
"Quantity in cart","購物車中數量"
"Row total in cart","購物車總計"
"Rule Information","規則信息"
"Rule Name","規則名稱"
"Rule was successfully deleted","成功刪除規則"
"Rule was successfully saved","成功保存規則"
"Save Rule","保存規則"
"Shipping Country","配送國家"
"Shipping Method","配送方式"
"Shipping Postcode","配送郵編"
"Shipping Region","配送地區"
"Shipping State/Province","配送省份"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Shopping Cart Price Rules","購物車價格規則"
"Special price","特價"
"Start at: %s","開始：%s "
"Status","狀態"
"Stop further rules processing","停止處理其它規則"
"Subtotal","小計"
"The page you are trying to save no longer exists","要保存的頁面不存在"
"This rule no longer exists","該規則不存在"
"To Date","結束日期"
"To Fixed Amount","固定金額"
"To Fixed Value","固定價格"
"To Percentage","百分比"
"To Percentage of the original price","原價的百分比"
"Total Items Quantity","總數量"
"Total Weight","總重量"
"Unable to find a page to delete","無法找到要刪除的頁面"
"Update prices using the following information","用下面的內容更新價格"
"Update product's %s %s: %s","更新商品的%s %s：%s "
"Update the Product","更新商品"
"Uses per coupon","每優惠券使用"
"Uses per customer","每客戶使用"
"Yes","是"
