"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">鏈接</a> "
"Access denied to destination folder ""%s""","被拒絕存取目標目錄""%s"" "
"Could not load file: ""%s""","無法加載文件：""%s"" "
"Could not save file: %s","無法保存文件：%s "
"Declared adapter %s not found","選定的適配器%s未找到"
"Destination folder ""%s"" does not exist or not access to create","目標目錄""%s""不存在或無法創建"
"Destination folder ""%s"" is not a directory","""%s""不是目錄"
"Destination folder ""%s"" is not a writeable","目標目錄""%s""不可寫"
"Done","Done "
"Dry run set, stopping execution","Dry run set, stopping execution"
"ETA: %s","ETA: %s "
"Error field mapping! Fields list for mapping is not defined","字段映射錯誤！映射字段未定義"
"Error occured during file opening: ""%s""","錯誤出現於打開文件：""%s"" "
"File ""%s"" don't exist","File ""%s"" don't exist "
"Found %d rows","找到%d行"
"Less than a minute","少於1分鐘"
"Loaded successfully: ""%s""","成功加載：""%s"" "
"Memory Used: %s","使用內存：%s "
"Method ""%s"" not defined in adapter %s","方式""%s""未在適配器%s中定義"
"Please declare ""adapter"" and ""method"" node first","請先定義""適配器""和""方式""節點"
"Processed records: %s","處理記錄：%s "
"Saved successfully: ""%s"" [%d byte(s)]","成功保存：""%s"" [%d字節] "
"Sheet 1","Sheet 1 "
"Skip undefined row","忽略未定義行"
"Starting %s :: %s","開始%s :: %s "
"Total records: %s","總記錄：%s"
"hour","小時"
"hours","小時"
"minute","分鐘"
"minutes","分鐘"
