"ALL","全部"
"ANY","之一"
"Add","增加"
"Apply","應用"
"Description: %s","說明：%s "
"Expire at: %s","有效期：%s "
"FALSE","假"
"If %s of these conditions are %s:","如果這些條件%s為%s： "
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","姓名：%s "
"Open Chooser","打開選擇"
"Perform following actions","執行以下操作"
"Please choose a condition to add...","請選擇要增加的條件... "
"Please choose an action to add...","請選擇要增加的操作... "
"Remove","刪除"
"Start at: %s","開始：%s "
"TRUE","真"
"by","於"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","is "
"is not","is not "
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","到"
