"%s is not correct comparsion method.","%s 不是正確的比對方式"
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","允許數量低於0 "
"Allow Qty Below 0 and Notify Customer","允許庫存低於0並通知客戶"
"Backorders","缺貨訂單"
"By Fixed value","根據固定價格"
"By Percentage","根據百分比"
"Can not specify product identifier for order item","無法指定訂購商品的標識"
"Catalog Inventory","產品庫存"
"Decrease Stock When Order is Placed","生成訂單後減少庫存"
"In Stock","現貨供應"
"Inventory","庫存"
"Inventory API","庫存 API"
"Inventory Section","存貨部門"
"Manage Stock","存貨管理"
"Maximum Qty Allowed in Shopping Cart","購物車中最多商品數量"
"Minimum Qty Allowed in Shopping Cart","購物車中最少商品數量"
"No Backorders","沒有缺貨訂單"
"Notify for Quantity Below","通知當數量低於"
"Out of Stock","缺貨"
"Product Stock Options","產品庫存選項"
"Qty for Items' Status to become Out of Stock","將此項目的數量狀態更改為無庫存"
"Retrieve stock data","取回庫存資料"
"Retrieve stock data by product ids","以產品編號搜尋庫存"
"Rule price","價格規則"
"Set Items' Status to be In Stock When Order is Cancelled","當訂單被取消時，將產品狀態改成有庫存"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","庫存選項"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","訂購""%s""的數量沒有庫存。 "
"The requested quantity is not available.","訂購的數量沒有庫存。 "
"This product is currently out of stock.","此商品目前沒有庫存"
"To Fixed Value","為固定值"
"To Percentage","為百分比"
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","更新商品"
