"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s成功添加到收藏，點<a href=""%2$s"">這裡</a>繼續購物"
"%s's Wishlist","%s的收藏"
"* Required Fields","*必填欄目"
"Add All to Cart","全部加入購物車"
"Add to Cart","加入購物車"
"Add to Wishlist","加入收藏"
"Added On","加入日期"
"Are You sure?","您確認嗎？ "
"Are you sure you want to remove this product from your wishlist?","您確認要從收藏中刪除該商品嗎？ "
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"Back","返回"
"Can't save description %s","Can't save description %s "
"Cannot create wishlist","無法創建收藏"
"Cannot specify product","無法指定商品"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","如果要增加到您的收藏的RSS Feed的鏈接，請選擇該方框。 "
"Comment","備註"
"Email Sender","電子郵件發件人"
"Email Template","電子郵件模板"
"Email address can't be empty.","Email address can't be empty. "
"Email addresses, separated by commas","電子郵件地址，逗號分開"
"Enabled","打開"
"General Options","基本選項"
"Go to Wishlist","轉到收藏"
"Last Added Items","最後增加的商品"
"Message","內容"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","我的收藏(%d件商品) "
"My Wishlist (%d items)","我的收藏(%d件商品) "
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","請輸入有效的電子郵件地址，逗號分開。例如：johndoe@domain.com, johnsmith@domain.com "
"Please, enter your comments...","請輸入您的說明... "
"Product","商品"
"RSS Feed","RSS Feed "
"RSS link to %s's wishlist","RSS鏈接到%s的收藏"
"Remove Item","刪除商品"
"Share Wishlist","共享收藏"
"Share Your Wishlist","共享您能的收藏"
"Share options","共享選項"
"Sharing Information","共享信息"
"There was an error while adding item to wishlist.","增加商品到收藏時出錯。 "
"There was an error while adding item to wishlist: %s","增加商品到收藏：%s時出錯"
"There was an error while deleting item from wishlist.","從收藏刪除商品時出錯。 "
"There was an error while deleting item from wishlist: %s","從收藏：%s刪除商品時出錯"
"This product(s) is currently out of stock:","This product(s) is currently out of stock:"
"Update Wishlist","更新收藏"
"View Product","查看商品"
"Wishlist","收藏"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","收藏共享"
"Wishlist is empty now.","收藏為空。 "
"You have no items in your wishlist.","您的收藏中沒有商品。 "
"You input not valid email address.","您輸入的電子郵件地址不正確。 "
"Your Wishlist was successfully shared","成功共享您的收藏。 "
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","My Wishlist"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
