"Actions","操作"
"Add Answer","增加選項"
"Add New Answer","增加新的選項"
"Add New Poll","增加新的投票"
"Answer Title","選項標題"
"Answer Title:","選項標題： "
"Answer was successfully saved","成功保存選項"
"Answer with the same title in this poll","投票中的選項相同"
"Are you sure you want to delete it?","您確認要刪除嗎？ "
"Assigned Answers","指定選項"
"Closed","關閉"
"Community Poll","社區投票"
"Date Closed","結束日期"
"Date Posted","發布日期"
"Delete","刪除"
"Delete Answer","刪除選項"
"Delete Poll","刪除投票"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Answer '%s'","修改選項'%s' "
"Edit Poll '%s'","修改投票'%s' "
"Edit Poll Answer","修改投票選項"
"ID","編號"
"Invalid Answer","無效選項"
"New Poll","新增投票"
"Number of Responses","投票數量"
"Open","啟用"
"Poll Answers","投票選項"
"Poll Information","投票信息"
"Poll Manager","投票管理"
"Poll Question","投票問題"
"Poll information","投票信息"
"Poll not exists","投票不存在"
"Poll with the same question","投票問題相同"
"Save Answer","保存選項"
"Save Poll","保存投票"
"Status","狀態"
"Unable to find answer to delete.","沒有找到要刪除的選項。 "
"Visible In","可見於"
"Vote","投票"
"Votes Count","投票計數"
"Votes Count:","投票計數： "
