"Abandoned carts","清空購物車"
"Action","Action"
"Add to Cart","加入購物車"
"Add to Compare","加入比較"
"Add to Wishlist","加入收藏"
"Applied Coupon","使用優惠券"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","暢銷商品"
"Bought from wishlists","從收藏購買"
"CSV","CSV "
"Carrier/Method","方式"
"Carts","購物車"
"Coupons","優惠券"
"Created at","創建於"
"Customer","客戶"
"Customer Name","客戶姓名"
"Customer Tags","客戶標籤"
"Customers","客戶"
"Customers Report","客戶報表"
"Customers Reviews","客戶評論"
"Customers Tags","客戶標籤"
"Customers by number of orders","根據訂單數排列的客戶"
"Customers by orders total","根據訂單總額排列的客戶"
"Customers that have wishlist: %s%","有收藏的客戶：%s% "
"Day","天"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","內容"
"Discounts","優惠"
"Downloads","Downloads"
"Email","電子郵件"
"Excel","Excel "
"First Name","名字"
"Guest","訪客"
"Hits","點擊"
"ID","編號"
"Invalid date specified","Invalid date specified"
"Invoiced","已出發票"
"Items Ordered","訂購商品"
"Items in Cart","購物車中商品"
"Last Name","姓氏"
"Last Review","最後評論"
"Link","Link"
"Low stock","低庫存"
"Month","月"
"Most Viewed","查看次數最多"
"Most viewed","查看次數最多"
"Name","姓名"
"New Accounts","新帳號"
"Number Added","增加數"
"Number Fulfilled","使用數"
"Number Of Historical Uses","記錄使用數"
"Number Of Reviews","評論數量"
"Number Of Uses","使用次數"
"Number Purchased","購買次數"
"Number Viewed","查看次數"
"Number of Items","商品數"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of New Accounts","新帳號數量"
"Number of Orders","訂單數量"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","評論數量"
"Number of Total Tags","總標籤數量"
"Number of Unique Tags","唯一標籤數量"
"Number of Views","查看數量"
"Number of items bought from a wishlist: %s","通告收藏購買的商品數量：%s "
"Number of times deleted","刪除次數"
"Number of times wishlists have been shared (emailed): %s","收藏共享次數(發郵件)：%s "
"Number of wishlist conversions: %s","收藏轉換次數：%s "
"Number of wishlist referrals: %s","收藏推薦次數：%s "
"Number of wishlists: %s","收藏數量：%s "
"Offline Refunded","離線退款"
"Online Refunded","在線退款"
"Orders","訂單"
"Out of stock","缺貨"
"Poducts Report","商品報表"
"Popular Tags","熱門標籤"
"Popularity","熱門度"
"Price","價格"
"Product Name","商品名稱"
"Product Reviews","商品評論"
"Product Sku","商品Sku "
"Product Tags","商品標籤"
"Products","商品"
"Products Report","商品報表"
"Products Reviews","商品評論"
"Products Sold","Products Sold"
"Products Tags","商品標籤"
"Products in carts","購物車中商品"
"Purchases","Purchases"
"Quantity Ordered","訂購數量"
"Quantity of Items","商品數量"
"Rate","Rate"
"Recently Compared Products","最近比較的商品"
"Recently Viewed Products","最近查看的商品"
"Recently Viewed/Compared Products","最近查看/比較的商品"
"Refunded","已退款"
"Reports","報表"
"Results","結果"
"Revenue","利潤"
"Review","評論"
"Reviews","評論"
"Reviews for %s","Reviews for %s"
"Sales","銷售"
"Sales Report","銷售報表"
"Search Terms","搜索關鍵詞"
"Shipping","配送"
"Shopping Cart","購物車"
"Show for Current","顯示當前"
"Stock Qty","庫存數量"
"Submitted In","提交"
"Submitted On","提交日期"
"Subtotal","小計"
"Tag","標籤"
"Tag ""%s"" details","標籤""%s""內容"
"Tag Detail","標籤內容"
"Tag Name","標籤名稱"
"Tag use","標籤使用"
"Tags submited by %s","標籤提交人%s "
"Tags submitted to %s","標籤提交給%s "
"Tax","稅"
"Tax Amount","稅額"
"Title","標題"
"Total","總計"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Refunded","退款總計"
"Total Shipping","發貨總計"
"Total Tags","標籤總計"
"Total invoiced","發票總計"
"Total refunded","退款總計"
"Updated at","更新於"
"Visible In","可見於"
"Wishlist Report","收藏報表"
"Wishlist vs. Regular Order","收藏與訂購"
"Wishlists","收藏"
"Year","年"
"Your Recently Compared","您最近比較的"
"Your Recently Viewed","您最近查看的"
