"* Select shipping method","*選擇配送方式"
"AVS Status: %s","AVS狀態：%s "
"Add","Add"
"Add Shipping Method","Add Shipping Method"
"Allowed Methods","Allowed Methods"
"Amount: %s","金額：%s "
"Auto-generated from GoogleCheckout Charge","從GoogleCheckout收費自動生成"
"Buyer account age: %s days","購貨人帳戶時間：%s天"
"CC Partial: xxxx-%s","部分信用卡號碼: xxxx-%s "
"CID Status: %s","CID狀態： %s "
"Carrier Calculated Methods","Carrier Calculated Methods"
"Cart Discount","購物車折扣"
"Checkout Image Style","結帳圖片格式"
"Continue Shopping URL","繼續購物網址"
"Debug","調試"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Default price for methods","Default price for methods"
"Default price:","缺省價格： "
"Delivery Address Category","Delivery Address Category"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Eligible for protection: %s","有效保護: %s "
"Enable","激活"
"Enable Carrier Calculated","Enable Carrier Calculated"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Expiration: %s","有效期：%s "
"Financial: %s -> %s","財務：%s -> %s "
"Free Shipping","Free Shipping"
"Fulfillment: %s -> %s","實際：%s -> %s "
"Google API","Google API "
"Google Authorization:","Google授權： "
"Google Buyer Id: %s","Google購物人編號：%s "
"Google Charge:","Google收費: "
"Google Checkout","Google Checkout "
"Google Checkout Shipping - Carrier Calculated","Google Checkout配送-快遞計算"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Flat Rate","Google Checkout Shipping - Flat Rate "
"Google Checkout Shipping - Merchant Calculated","Google Checkout配送-商家計算"
"Google Checkout: %s","Google Checkout：%s "
"Google Order Number: %s","Google訂單號：%s "
"Google Refund:","Google Refund: "
"Google Risk Information:","Google風險評估信息： "
"Google order status change:","Google訂單狀態變化： "
"Hide Cart Contents During Checkout","結帳時不顯示購物車中商品"
"IP Address: %s","IP地址：%s "
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Invoice auto-created: %s","Invoice auto-created: %s "
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Large - %s","Large - %s"
"Latest Charge: %s","最近付款：%s "
"Latest Refund: %s","最近退款：%s "
"Location","位置"
"Medium - %s","Medium - %s"
"Merchant ID","商戶編號"
"Merchant Key","商戶密鑰"
"Method","Method"
"New order status","新訂單狀態"
"No","No"
"Optional, leave empty for home page.","可選，留空為首頁。 "
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Remove","Remove"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Sandbox","Sandbox "
"Secure Callback URL","Secure Callback URL"
"Small - %s","Small - %s"
"Total Charged: %s","總付款：%s "
"Total Refunded: %s","總退款：%s"
"Transparent","Transparent"
"United Kingdom","United Kingdom"
"United States","United States"
"Virtual item to reflect discount total","虛擬商品計算總折扣"
"White Background","White Background"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to GoogleCheckout in a few seconds."
