"%d Review(s)","%d個評論"
"%s Review(s)","%s個評論"
"(Posted on %s)","(評論日期%s) "
"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Add New Review","發表新的評論"
"Add Your Review","發表評論"
"Administrator","管理員"
"All Reviews","所有評論"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","您確認要這麼做嗎？ "
"Are you sure?","您確認嗎？ "
"Average Customer Rating","平均客戶評級"
"Average Customer Rating:","平均客戶評級： "
"Back","返回"
"Back to Main Product Info","返回主商品內容"
"Back to My Reviews","返回我的評論"
"Back to Product Reviews","返回商品評論"
"Be the first to review this product","第一個評論該商品"
"Created On","創建日期"
"Customer","客戶"
"Customer Reviews","客戶評論"
"Delete","刪除"
"Delete Review","刪除評論"
"Detailed Rating","評級情況"
"Edit Review '%s'","修改評論'%s' "
"Guest","訪客"
"How do you rate this product?","您對該商品的評級是？ "
"ID","編號"
"Manage Ratings","Manage Ratings"
"My Product Reviews","我的商品評論"
"My Recent Reviews","我最近的評論"
"Name","名字"
"Name In Store","在商店的名字"
"New Review","新評論"
"Nickname","暱稱"
"Pending Reviews","待審評論"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","請選擇商品"
"Please select one of each of the ratings above","請選擇上面的一個評級"
"Posted By","Posted By "
"Price","價格"
"Product","商品"
"Product Name","商品名稱"
"Product Rating","商品評級"
"Product Rating:","商品評級： "
"Product Review (submitted on %s):","商品評論(提交日期%s): "
"Product Reviews","商品評論"
"Product SKU","商品SKU "
"Qty","數量"
"Rating:","評級： "
"Review","評論"
"Review Details","評論內容"
"Review by %s","評論人%s "
"Reviews and Ratings","Reviews and Ratings"
"SKU","SKU "
"Save Review","保存評論"
"Status","狀態"
"Submit Review","提交評論"
"Summary Rating","評級"
"Summary of Review","評論內容"
"Summary of Your Review","您的評論內容"
"Summary of review","評論內容"
"Title","標題"
"Type","類型"
"Unable to post review. Please, try again later.","無法發表評論，請稍後再試。 "
"Update status","更新狀態"
"View All Reviews","查看所有評論"
"View Details","查看內容"
"Visible In","可見於"
"Websites","Websites"
"Write Your Own Review","發表您自己的評論"
"You have submitted no reviews.","您沒有提交評論。 "
"You're reviewing: %s","您正在評論：%s "
"Your Rating:","您的評級： "
"Your Review (submitted on %s):","您的評論(提交日期%s): "
"Your review has been accepted for moderation","您的評論已提交審核"
"OR","OR"
"My Product Reviews","My Product Reviews"
