"* Required Fields","*必填欄目"
"A new password was sent","新的密碼已經發出"
"Account Dashboard","帳戶儀表板"
"Account Information","帳戶信息"
"Account Sharing Options","帳戶共享選項"
"Account information was successfully saved","成功保存帳戶信息"
"Action","操作"
"Add New Address","增加新的地址"
"Add New Customer","增加新的客戶"
"Add New Customer Group","增加新的客戶分組"
"Added From","加自"
"Additional Address Entries","其它地址項"
"Address","地址"
"Address Book","地址簿"
"Address Information","地址信息"
"Addresses","地址"
"Admin","管理員"
"All","所有"
"All Store Views","所有商店界面"
"All countries","所有國家"
"Always optional","Always optional"
"Amount","金額"
"Approved","已批准"
"Are you sure that you want to remove this item?","您確認要刪除該項目嗎？ "
"Are you sure you want to cancel adding of this address?","您確認要取消增加該地址嗎？ "
"Are you sure you want to delete this address?","您確認要刪除該地址嗎？ "
"Are you sure?","您確認嗎？ "
"Array of Entity collections is expected","需要實體組合的數組"
"Assign a customer group","指定客戶分組"
"Average Sale","平均銷售"
"Back","返回"
"Back to Login","返回登錄"
"Bad request.","錯誤的請求."
"Bill to Name","Bill to Name"
"Billing Information","賬單信息"
"Bought From","購買自"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","註冊您自己的帳戶，結帳方便迅速，而且可以保存多個送貨地址、查看訂單狀態等。 "
"CSV","CSV "
"Can't save address","Can't save address "
"Can't save customer","Can't save customer "
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","取消"
"Change Account Password","修改帳戶密碼"
"Change Billing Address","修改賬單地址"
"Change Password","修改密碼"
"Change Shipping Address","修改配送地址"
"City","城市"
"Company","公司"
"Config","設置"
"Confirm New Password","確認新的密碼"
"Confirm Password","確認密碼"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","聯繫信息"
"Continue Shopping","繼續購物"
"Country","國家"
"Create","Create"
"Create New Account Options","新建帳號選項"
"Create New Customer Account","新建客戶帳號"
"Create Order","創建訂單"
"Create an Account","創建帳號"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","當前密碼"
"Customer","客戶"
"Customer Addresses","客戶地址"
"Customer Api","Customer Api"
"Customer Configuration","客戶設置"
"Customer Group","客戶分組"
"Customer Group was successfully deleted","成功刪除客戶分組"
"Customer Group was successfully saved","成功保存客戶分組"
"Customer Groups","客戶分組"
"Customer Information","客戶信息"
"Customer Login","用戶名"
"Customer Since","註冊日期"
"Customer View","客戶界面"
"Customer collection expected","需要客戶組合"
"Customer doesn't have primary billing address","客戶沒有首選賬單地址"
"Customer email already exists","客戶的郵件地址已存在"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","客戶"
"Customers Only","僅限客戶"
"Customers Section","Customers Section"
"DD","DD"
"Date","日期"
"Date Added","添加日期"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","收藏的天數"
"Default Addresses","缺省地址"
"Default Billing Address","缺省賬單地址"
"Default Email Domain","缺省郵件域名"
"Default Group","缺省分組"
"Default Shipping Address","缺省配送地址"
"Default Welcome Email","Default Welcome Email"
"Delete","刪除"
"Delete Address","刪除地址"
"Delete Customer","刪除客戶"
"Delete Customer Group","刪除客戶分組"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","刪除商店"
"Details","詳細"
"Disabled","未激活"
"Edit","修改"
"Edit Account Info","Edit Account Info"
"Edit Account Information","修改帳戶信息"
"Edit Address","修改地址"
"Edit Address Entry","修改地址"
"Edit Customer Group ""%s""","修改客戶分組""%s"" "
"Edit Customer Groups","修改客戶分組"
"Edit Customer's Address","修改客戶地址"
"Edit Group","修改分組"
"Edit Newsletter Subscription","修改郵件列表訂閱"
"Edit Newsletters","修改郵件列表"
"Edit Personal Information","修改個人信息"
"Email","電子郵件"
"Email Address","電子郵件"
"Email Sender","電子郵件發件人"
"Entity collection is expected","需要實體組合"
"Error during retrieval of option value: %s","獲取選項值時出錯：%s "
"Ext. Price","實際價格"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","傳真"
"First Name","名字"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","取回密碼郵件的發件人"
"Forgot Email Template","取回密碼郵件的模板"
"Forgot Your Password?","忘記您的密碼了？ "
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","在我的帳號面板中，可以查看最近帳戶存取情況，以及更新帳戶信息。選擇下面的鏈接查看或修改信息。 "
"General Subscription","本店快訊"
"Global","全局"
"Go to Address Book","轉到地址薄"
"Grand Total","總計"
"Grand Total: %s","總計：%s"
"Group","分組"
"Group ""%s"" can not be deleted","分組""%s""無法刪除"
"Group Information","分組信息"
"Group Name","分組名稱"
"Guest","客人"
"HTML","HTML "
"Hello, %s!","您好，%s! "
"ID","編號"
"IP Address","IP地址"
"If you have an account with us, please log in.","如果您已有帳號，請登錄。 "
"Invalid attribute option specified for attribute %s (%s), skipping the record","屬性%s (%s)的屬性選項不正確，忽略該記錄"
"Invalid attribute set specified, skipping the record","指定的屬性集不正確，忽略該記錄"
"Invalid current password","當前密碼不正確"
"Invalid customer data","客戶數據不正確"
"Invalid email address","電子郵件地址不正確"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Invalid login or password."
"Invalid option id specified for %s (%s), skipping the record","%s (%s)的選項編號不正確，忽略該記錄"
"Invalid store specified, skipping the record","指定的商店不正確，忽略該記錄"
"Items Order","訂購商品"
"Last 5 Orders","最近5個訂單"
"Last Activity","最近訪問"
"Last Name","姓氏"
"Last Url","最近URL "
"Last Viewed Items","最近查看"
"Last date subscribed","最後訂閱日期"
"Last date unsubscribed","最後退訂日期"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","全部銷售"
"Log In","登錄"
"Log Out","Log Out"
"Log in or Create an Account","Log in or Create an Account"
"Login","登錄"
"Login Information","登錄信息"
"Login and password are required","需要用戶名和密碼"
"Login or Create an Account","登錄或註冊新帳號"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","地址管理"
"Manage Customers","客戶管理"
"Missing email, skipping the record","缺少電子郵件，忽略該記錄"
"Missing firstname, skipping the record","缺省名字，忽略該記錄"
"Missing lastname, skipping the record","缺少姓氏，忽略該記錄"
"Month","Month"
"My Account","我的帳號"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","我的面板"
"My Orders","我的訂單"
"My Reviews","我的評論"
"My Tags","我的標籤"
"My Wishlist","我的收藏"
"Name","姓名"
"Name and Address Options","Name and Address Options"
"Never","從不"
"New Address","新增地址"
"New Address Entry","增加一個地址"
"New Customer","新客戶"
"New Customer Address","新客戶地址"
"New Customer Group","新客戶分組"
"New Customer Groups","新客戶分組"
"New Customers","新客戶"
"New Group","新分組"
"New Password","新的密碼"
"New account","新的帳戶"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"Newsletter","郵件列表"
"Newsletter Finish","郵件列表完成"
"Newsletter Information","郵件列表信息"
"Newsletter Received","收到郵件列表"
"Newsletter Start","郵件列表開始"
"Newsletter Subscription","Newsletter Subscription"
"Newsletters","郵件列表"
"No Items Found","沒有找到項目"
"No Newsletter Found","沒有郵件列表"
"No item specified.","No item specified."
"No product collections found","沒有找到商品組合"
"Not Sent","沒有發送"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","離線"
"Online","在線"
"Online Customers","在線客戶"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","訂單號"
"Order #%s (%s)","訂單號%s (%s) "
"Order List...","訂單列表... "
"Order Total","訂單總額"
"Orders","訂單"
"PDF","PDF "
"Password","密碼"
"Password Management","密碼管理"
"Password Options","密碼選項"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","密碼最少6個字符，前後空格將被忽略。 "
"Paused","暫停"
"Payment Method","支付方式"
"Pending","等待中"
"Per Website","每站"
"Personal Information","個人信息"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password. "
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","請輸入您的電子郵件。 "
"Please make sure your passwords match.","請確保密碼一致。 "
"Please select","請選擇"
"Please select region, state or province","請選擇地區、省份"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","價格"
"Primary Billing Address","首選賬單地址"
"Primary Shipping Address","首選配送地址"
"Problem saving the collection, aborting. Error: %s","保存組合出錯，退出。錯誤：%s "
"Product","商品"
"Product ID","商品編號"
"Product Name","商品名稱"
"Product Reviews","商品評論"
"Product Tags","商品標籤"
"Product name","商品名稱"
"Purchase On","購買日期"
"Purchased at","購買時間"
"Qty","數量"
"Recent Orders","最近訂單"
"Records for ""","記錄"" "
"Refunded","退款"
"Registered Customers","老客戶"
"Remove","刪除"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
