"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Add New Rating","增加新的評級"
"Assigned Options","指定選項"
"Be the first to review this product","第一個給該商品發表評論"
"Default Value","缺省值"
"Delete Rating","刪除評級"
"Edit Rating","修改評級"
"ID","編號"
"If you do not specify a rating title for a store, the default value will be used.","如果沒有給商店輸入評級名稱，將採用缺省值。 "
"Manage Ratings","Manage Ratings"
"New Rating","新的評級"
"Option Label","選項標記"
"Option Title","選項標題"
"Option Title:","選項標題： "
"Please select one of each ratings above","請在上面選擇一個評級"
"Rating Information","評級內容"
"Rating Name","評級名稱"
"Rating Options","評級選項"
"Rating Title","評級標題"
"Rating Visibility","評級可見性"
"Rating isn't Available","評級不可見"
"Rating with the same title","評級標題重複"
"Save Rating","保存評級"
"Visible In","可見於"
