"%s Item(s)","%s件商品"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(版本%s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"About the calendar","About the calendar"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Close"
"Close Window","關閉窗口"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Date selection:"
"Default Description","缺省說明"
"Default welcome msg!","Default welcome msg!"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","協助我們改善Magento"
"Interface Language","界面語言"
"Items %s to %s of %s total","%s到%s，共%s "
"Next Page","下一頁"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","頁： "
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","上一頁"
"Redirecting...","Redirecting..."
"Report All Bugs","報告所有錯誤"
"Select Store","選擇商店"
"Select date","Select date"
"Show","顯示"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","轉到主頁眉"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","這是演示商店，所有訂單都不會發貨。 "
"Time selection:","Time selection:"
"Time:","Time:"
"Welcome, %s!","歡迎您，%s! "
"You're currently on:","當前登錄帳號： "
"Your Language","請選擇您的語言"
"Your Language:","請選擇您的語言:"
"per page","每頁"
"Your Language:","Your Language:"
"(ver. %s)","(版本%s)"
"Help Us to Keep Magento Healthy","協助我們改善Magento"
"Report All Bugs","報告所有錯誤"
"Your Language","請選擇您的語言"
